"","row_ind","column_ind","values"
"1","CA0194500","y2022_2",-1
"2","CA037A300","y2020_12",-1
"3","AZDI08900","y2020_12",-4
"4","MD0023C00","y2020_10",-3
"5","MD0023C00","y2020_7",-15
"6","CA0192H0X","y2020_6",-1
"7","TX0460000","y2020_4",-2
"8","CA037A500","y2020_3",-2
"9","NJ0130500","y2020_2",-2
"10","MD0110400","y2020_2",-3
"11","CA0192J0X","y2020_1",-3
"12","WI0680700","y2019_12",-1
"13","TX057519E","y2019_12",-1
"14","TX0460000","y2019_12",-1
"15","NM0150100","y2019_12",-3
"16","CA0370400","y2019_11",-3
"17","TX2202900","y2019_6",-1
"18","TX2204000","y2019_5",-1
"19","PA0231800","y2019_5",-1
"20","PA0066200","y2019_5",-1
"21","MO0390000","y2019_5",-3
"22","GA0280500","y2019_5",-2
"23","CA0370800","y2019_4",-1
"24","CA0090200","y2019_3",-6
"25","PA0110500","y2019_2",-1
"26","WI0590100","y2019_1",-1
"27","MO0390200","y2019_1",-4
"28","MD0160300","y2019_1",-1
"29","CA0190X0X","y2018_12",-2
"30","CA0370700","y2018_12",-3
"31","CA0195800","y2018_11",-1
"32","CA030490X","y2018_11",-1
"33","CA0192J0X","y2018_10",-1
"34","TX2270200","y2018_8",-2
"35","CA0371300","y2018_8",-2
"36","TX2202200","y2018_7",-1
"37","TX2080000","y2018_7",-3
"38","GA1070100","y2018_7",-1
"39","GA0330800","y2018_7",-1
"40","CA0190300","y2018_7",-1
"41","CA037A200","y2018_7",-1
"42","CA0301200","y2018_7",-1
"43","TX0970000","y2018_6",-1
"44","MD0150200","y2018_6",-1
"45","TX2203200","y2018_4",-1
"46","TX2200400","y2018_4",-1
"47","PA0064300","y2018_4",-1
"48","MO0500800","y2018_3",-1
"49","PA0031000","y2018_2",-1
"50","TX1460100","y2018_1",-1
"51","TX0560100","y2018_1",-2
"52","CA0190300","y2018_1",-2
"53","CA0193800","y2017_12",-5
"54","TX1210100","y2017_11",-1
"55","MO0730300","y2017_11",-1
"56","ME0050200","y2017_11",-1
"57","MD0130000","y2017_11",-3
"58","TX1690100","y2017_10",-1
"59","GA0600400","y2017_10",-1
"60","GA0730100","y2017_10",-1
"61","TX1840300","y2017_8",-1
"62","CA0190D0X","y2017_7",-1
"63","WY0150000","y2017_6",-1
"64","WI0020100","y2017_6",-1
"65","TX2370000","y2017_6",-2
"66","TX0151500","y2017_6",-1
"67","GA0447100","y2017_6",-1
"68","CA0192J0X","y2017_6",-1
"69","CA0191100","y2017_6",-1
"70","WY0120000","y2017_5",-1
"71","PA0634100","y2017_5",-1
"72","PA0060600","y2017_5",-1
"73","MO0660300","y2017_5",-2
"74","MO0070100","y2017_5",-1
"75","GA0080200","y2017_5",-1
"76","WI0130600","y2017_3",-1
"77","NJ0081500","y2017_3",-2
"78","GA1410200","y2017_3",-1
"79","WI0371300","y2017_2",-1
"80","TX1460300","y2017_2",-1
"81","PA0620200","y2017_1",-1
"82","MS0240800","y2016_12",-1
"83","CA0191700","y2016_12",-1
"84","PA0110500","y2016_11",-1
"85","GA1140000","y2016_11",-1
"86","GA0730100","y2016_11",-1
"87","CA0192J0X","y2016_11",-1
"88","WI0680700","y2016_10",-1
"89","UT0110000","y2016_10",-1
"90","GA0290200","y2016_10",-1
"91","WI0371300","y2016_9",-1
"92","CA037A300","y2016_8",-3
"93","PA033SP00","y2016_7",-1
"94","PA0063500","y2016_6",-1
"95","MD0180000","y2016_6",-1
"96","CA0194000","y2016_6",-1
"97","CA0191100","y2016_6",-1
"98","CA0300500","y2016_6",-1
"99","MS0240800","y2016_5",-1
"100","ME0090000","y2016_5",-1
