"","row_ind","column_ind","values"
"1","CA0192100","y2022_9",-1
"2","CA0194300","y2022_5",-1
"3","CA0480000","y2022_5",-1
"4","CA0301400","y2020_12",-1
"5","CA0195000","y2020_10",-1
"6","CA0011100","y2020_8",-2
"7","CA0370100","y2020_5",-1
"8","CA0197700","y2020_4",-1
"9","CA0191200","y2019_11",-1
"10","UT0230100","y2019_9",-1
"11","CA0195400","y2019_8",-1
"12","CA0193500","y2019_7",-1
"13","CA0430800","y2019_1",-1
"14","PA0250300","y2018_12",-1
"15","CA0193500","y2018_10",-1
"16","LA0520000","y2018_7",-1
"17","CA0193200","y2018_2",-1
"18","TX1260000","y2017_10",-1
"19","IN0640000","y2017_7",-1
"20","CA0190300","y2017_4",-1
"21","NJ0070900","y2017_3",-1
"22","FL0062800","y2016_12",-1
"23","CA0192J0X","y2016_12",-1
"24","CA0280000","y2016_11",-1
"25","CA0130000","y2016_10",-1
"26","CA0011100","y2016_8",-1
"27","ME0101800","y2016_7",-1
"28","CA0490800","y2016_2",-1
"29","CA0195000","y2015_12",-1
"30","CA0301400","y2015_7",-1
"31","CA0010300","y2015_2",-1
"32","CA0130000","y2015_1",-1
"33","CA0431100","y2014_12",-1
"34","CA0301400","y2014_10",-1
"35","WA0310200","y2014_7",-1
"36","CA0431600","y2014_7",-2
"37","CA0310100","y2014_7",-1
"38","CA0301400","y2014_7",-1
"39","CA0010300","y2014_6",-1
"40","CA0301400","y2014_6",-1
"41","CA0240100","y2014_4",-1
"42","PA0651000","y2014_1",-1
"43","KY0568000","y2014_1",-11
"44","CA037A100","y2014_1",-1
"45","CA0300200","y2013_9",-1
"46","CA0300900","y2013_8",-1
"47","CA0560800","y2013_5",-1
"48","IN0200100","y2012_3",-1
"49","CA0191F00","y2012_3",-1
"50","FL0430000","y2011_12",-1
"51","PA0462700","y2011_10",-1
"52","CA0300200","y2011_6",-1
"53","MO0940000","y2011_1",-1
"54","CA0300200","y2010_11",-1
"55","CA0192H0X","y2010_8",-1
"56","WY0030000","y2010_5",-1
"57","CA034550X","y2010_3",-1
"58","WA0040000","y2010_1",-1
"59","PA0360300","y2009_12",-1
"60","IL0991300","y2009_12",-1
"61","CA0194000","y2009_12",-1
"62","IN0870000","y2009_9",-1
"63","CA001300X","y2009_8",-1
