"","row_ind","column_ind","values"
"1","AZDI08900","y2020_11",-4
"2","AK0012300","y2020_10",-1
"3","CA0192H0X","y2020_9",-1
"4","WI0280000","y2020_8",-3
"5","NJ0032800","y2020_6",-1
"6","MTDI05300","y2020_5",-3
"7","LA0270400","y2020_5",-2
"8","CA0193000","y2020_3",-1
"9","MO0050200","y2020_2",-1
"10","PA0490100","y2020_1",-1
"11","TX1390000","y2019_12",-6
"12","UT0110000","y2019_11",-1
"13","NJ0032100","y2019_11",-1
"14","CA0470900","y2019_11",-2
"15","PA0141100","y2019_10",-1
"16","LA0520200","y2019_10",-2
"17","RIDI00300","y2019_9",-2
"18","PA0110500","y2019_9",-1
"19","PA0070200","y2019_9",-1
"20","GA0180000","y2019_9",-1
"21","GA0730100","y2019_9",-1
"22","RIDI00300","y2019_8",-2
"23","TX0430300","y2019_3",-1
"24","NYDI02200","y2019_3",-1
"25","GA0100000","y2019_3",-4
"26","CA0280100","y2019_3",-1
"27","GA1010000","y2019_2",-2
"28","CA0400300","y2019_2",-1
"29","LA0520200","y2019_1",-8
"30","GA0800000","y2019_1",-1
"31","WI0590100","y2018_12",-1
"32","TX1390000","y2018_12",-1
"33","MD0200200","y2018_12",-1
"34","PA0110500","y2018_11",-1
"35","MO0950200","y2018_11",-1
"36","GA0730100","y2018_11",-1
"37","WI0590100","y2018_10",-1
"38","AK0013200","y2018_9",-1
"39","GA0010000","y2018_8",-1
"40","MO0952600","y2018_7",-1
"41","UT0110300","y2018_6",-2
"42","MO0942100","y2018_6",-1
"43","GA0270000","y2018_6",-1
"44","UT0010000","y2018_4",-1
"45","CA0241200","y2018_4",-1
"46","MO0953200","y2018_3",-1
"47","PA0381200","y2018_2",-1
"48","TX1810100","y2018_1",-1
"49","IN0890400","y2018_1",-2
"50","GA0270000","y2018_1",-1
"51","GA0120000","y2018_1",-1
"52","LA0100800","y2017_12",-3
"53","GA1130000","y2017_12",-6
"54","WI0680700","y2017_10",-1
"55","UT0251900","y2017_10",-1
"56","TX1100000","y2017_10",-1
"57","CA0191300","y2017_10",-23
"58","GA0590200","y2017_7",-3
"59","TX0201200","y2017_6",-1
"60","GA044149E","y2017_6",-1
"61","PA0490100","y2017_5",-1
"62","PA0131000","y2017_3",-1
"63","UT0110000","y2017_2",-1
"64","MO0740000","y2017_2",-1
"65","UT0190100","y2017_1",-1
"66","PA0370100","y2017_1",-1
"67","NM0170400","y2017_1",-1
"68","GA0331300","y2017_1",-6
"69","WADI05600","y2016_11",-3
"70","PA0490100","y2016_11",-1
"71","PA0330400","y2016_11",-1
"72","GA0590200","y2016_8",-2
"73","PA0461500","y2016_7",-1
"74","LA0020100","y2016_7",-1
"75","PA0300400","y2016_5",-1
"76","PA0211500","y2016_2",-1
"77","PA0130900","y2016_2",-1
"78","MO0950D00","y2016_1",-1
"79","GA0760300","y2016_1",-1
"80","PA0063600","y2015_12",-1
"81","GA0590200","y2015_12",-2
"82","WADI05600","y2015_9",-1
"83","GA1010000","y2015_9",-1
"84","WI0680700","y2015_8",-1
"85","NJ0012400","y2015_8",-1
"86","MO0510400","y2015_8",-1
"87","GA0640100","y2015_8",-1
"88","GA0150200","y2015_8",-1
"89","AK0014600","y2015_8",-2
"90","WA0311400","y2015_7",-1
"91","MO0100400","y2015_7",-1
"92","GA0590200","y2015_7",-2
"93","WY0150200","y2015_6",-1
"94","PA0405600","y2015_6",-1
"95","NJ0131200","y2015_6",-1
"96","NV0031000","y2015_2",-2
"97","MI4596900","y2015_2",-1
"98","PA0406000","y2015_1",-1
"99","NJ0211200","y2015_1",-1
"100","MS0400100","y2015_1",-1
"101","MI4596900","y2015_1",-1
"102","IN0240000","y2015_1",-1
"103","WI0230200","y2014_12",-1
"104","WI0540600","y2014_11",-1
"105","MO0970100","y2014_11",-1
"106","MO0491400","y2014_10",-2
"107","AK0014600","y2014_9",-1
"108","WI0610000","y2014_8",-1
"109","WI0230200","y2014_7",-1
"110","GA1320100","y2014_2",-1
"111","AK0014600","y2014_2",-1
"112","PA0480700","y2014_1",-1
"113","MI4596900","y2014_1",-1
"114","PA0010200","y2013_12",-1
"115","MO0500700","y2013_10",-1
"116","IN0790300","y2013_8",-1
"117","PA0141100","y2013_3",-1
"118","OH0020100","y2013_3",-1
"119","AK0013200","y2013_1",-3
"120","PA0070400","y2012_12",-1
"121","CA0302700","y2012_11",-1
"122","PA0362000","y2012_10",-1
"123","PA0070400","y2012_10",-1
"124","NV0150000","y2012_7",-1
"125","MD0040700","y2012_7",-1
"126","LA0010100","y2012_7",-2
"127","MO0956900","y2012_6",-1
"128","PA0110500","y2012_3",-1
"129","OH0501400","y2012_3",-1
