States,Years,Numbers
AL,1986,22012
AR,1986,9332
AZ,1986,21698
CA,1986,248383
CO,1986,17106
CT,1986,13582
DE,1986,2704
FL,1986,121002
GA,1986,34525
IA,1986,6706
ID,1986,2168
IL,1986,88529
IN,1986,14926
KS,1986,8971
KY,1986,12405
LA,1986,30551
MA,1986,29119
MD,1986,37160
ME,1986,1725
MI,1986,72816
MN,1986,11989
MO,1986,28016
MS,1986,4920
MT,1986,1007
NC,1986,29279
ND,1986,344
NE,1986,4151
NH,1986,1434
NJ,1986,43291
NM,1986,9146
NV,1986,6450
NY,1986,174077
OH,1986,42246
OK,1986,14428
OR,1986,14805
PA,1986,41619
RI,1986,3266
SC,1986,22728
SD,1986,788
TN,1986,24313
TX,1986,109937
UT,1986,4440
VA,1986,17718
VT,1986,808
WA,1986,19188
WI,1986,12174
WV,1986,3138
WY,1986,1483
AL,1987,22225
AR,1987,9753
AZ,1987,20523
CA,1987,253911
CO,1987,15408
CT,1987,13374
DE,1987,2656
FL,1987,123025
GA,1987,34584
IA,1987,6511
ID,1987,2128
IL,1987,87483
IN,1987,15425
KS,1987,8751
KY,1987,10899
LA,1987,27115
MA,1987,30877
MD,1987,29542
ME,1987,1801
MI,1987,71345
MN,1987,12108
MO,1987,26524
MS,1987,4821
MT,1987,632
NC,1987,30012
ND,1987,369
NE,1987,3936
NH,1987,1572
NJ,1987,41383
NM,1987,7885
NV,1987,6410
NY,1987,179162
OH,1987,41932
OK,1987,13664
OR,1987,14588
PA,1987,42082
RI,1987,3709
SC,1987,22651
SD,1987,769
TN,1987,24235
TX,1987,105958
UT,1987,3847
VA,1987,17419
VT,1987,750
WA,1987,19535
WI,1987,11786
WV,1987,2614
WY,1987,1389
AL,1988,21681
AR,1988,10206
AZ,1988,20867
CA,1988,261324
CO,1988,15550
CT,1988,14765
DE,1988,2981
FL,1988,
GA,1988,41332
IA,1988,7281
ID,1988,2475
IL,1988,89056
IN,1988,18682
KS,1988,8735
KY,1988,
LA,1988,27769
MA,1988,32625
MD,1988,37467
ME,1988,1896
MI,1988,67947
MN,1988,12490
MO,1988,27237
MS,1988,5907
MT,1988,857
NC,1988,31599
ND,1988,391
NE,1988,4311
NH,1988,1554
NJ,1988,44953
NM,1988,8258
NV,1988,7426
NY,1988,195255
OH,1988,43348
OK,1988,14189
OR,1988,14930
PA,1988,41316
RI,1988,3942
SC,1988,25756
SD,1988,575
TN,1988,24600
TX,1988,109549
UT,1988,4098
VA,1988,17945
VT,1988,784
WA,1988,21042
WI,1988,10367
WV,1988,2481
WY,1988,1478
AL,1989,23629
AR,1989,11389
AZ,1989,20262
CA,1989,283253
CO,1989,15648
CT,1989,16587
DE,1989,3747
FL,1989,140484
GA,1989,46169
IA,1989,7551
ID,1989,2525
IL,1989,94028
IN,1989,18995
KS,1989,10075
KY,1989,11765
LA,1989,30282
MA,1989,32224
MD,1989,40130
ME,1989,1674
MI,1989,64539
MN,1989,12551
MO,1989,31442
MS,1989,5645
MT,1989,877
NC,1989,34311
ND,1989,413
NE,1989,4443
NH,1989,1783
NJ,1989,47066
NM,1989,9031
NV,1989,6452
NY,1989,202445
OH,1989,46885
OK,1989,15854
OR,1989,14574
PA,1989,44623
RI,1989,3770
SC,1989,28503
SD,1989,850
TN,1989,25158
TX,1989,111815
UT,1989,4273
VA,1989,19066
VT,1989,722
WA,1989,22008
WI,1989,10802
WV,1989,2720
WY,1989,1227
AL,1990,27955
AR,1990,12432
AZ,1990,23613
CA,1990,309496
CO,1990,17341
CT,1990,18162
DE,1990,4327
FL,1990,156047
GA,1990,47772
IA,1990,8225
ID,1990,2760
IL,1990,105912
IN,1990,21351
KS,1990,11085
KY,1990,14376
LA,1990,33785
MA,1990,35004
MD,1990,43940
ME,1990,1756
MI,1990,72367
MN,1990,8352
MO,1990,35384
MS,1990,6002
MT,1990,1087
NC,1990,39998
ND,1990,370
NE,1990,5193
NH,1990,1410
NJ,1990,50064
NM,1990,9251
NV,1990,6701
NY,1990,211695
OH,1990,51118
OK,1990,17217
OR,1990,14371
PA,1990,51117
RI,1990,4338
SC,1990,33918
SD,1990,1060
TN,1990,30137
TX,1990,129320
UT,1990,4883
VA,1990,21772
VT,1990,691
WA,1990,24149
WI,1990,12953
WV,1990,3041
WY,1990,1366
AL,1991,32509
AR,1991,14041
AZ,1991,24919
CA,1991,328281
CO,1991,18825
CT,1991,17649
DE,1991,4844
FL,1991,158289
GA,1991,47039
IA,1991,
ID,1991,2882
IL,1991,115021
IN,1991,23093
KS,1991,12251
KY,1991,16218
LA,1991,35030
MA,1991,34761
MD,1991,46457
ME,1991,1616
MI,1991,74378
MN,1991,14003
MO,1991,37281
MS,1991,6703
MT,1991,769
NC,1991,42699
ND,1991,368
NE,1991,5327
NH,1991,1237
NJ,1991,49317
NM,1991,9966
NV,1991,8091
NY,1991,210563
OH,1991,56814
OK,1991,18525
OR,1991,14722
PA,1991,51718
RI,1991,4632
SC,1991,34579
SD,1991,1227
TN,1991,32346
TX,1991,145705
UT,1991,5005
VA,1991,23465
VT,1991,624
WA,1991,25848
WI,1991,13674
WV,1991,3444
WY,1991,1427
AL,1992,27996
AR,1992,13802
AZ,1992,25108
CA,1992,345544
CO,1992,19387
CT,1992,16266
DE,1992,3178
FL,1992,161056
GA,1992,47526
IA,1992,5105
ID,1992,2948
IL,1992,107199
IN,1992,24195
KS,1992,12753
KY,1992,20100
LA,1992,36551
MA,1992,39754
MD,1992,49073
ME,1992,1579
MI,1992,72076
MN,1992,14964
MO,1992,36932
MS,1992,7337
MT,1992,1186
NC,1992,45768
ND,1992,539
NE,1992,4556
