"","row_ind","column_ind","values"
"1","NB0550100","y2020_1",-2
"2","IN0020100","y2019_11",-1
"3","TX2270000","y2018_11",-1
"4","MD0110000","y2017_9",-1
"5","NV0160100","y2016_9",-1
"6","NM0030100","y2016_9",-1
"7","NB0550100","y2016_8",-1
"8","NB0550100","y2015_12",-1
"9","FL0051200","y2015_12",-1
"10","AZ0020000","y2014_10",-1
"11","GA0670200","y2014_6",-6
"12","IN0020100","y2014_3",-1
"13","LA0520200","y2014_1",-1
"14","OH0571500","y2013_7",-1
"15","GA0580000","y2012_4",-2
"16","CA0300900","y2011_12",-1
"17","CT0013200","y2010_10",-1
"18","AZ0090300","y2010_4",-1
"19","MO0920100","y2010_1",-1
"20","KY0590500","y2007_7",-1
"21","HI0010000","y2006_1",-1
"22","GA0230100","y2005_3",-1
"23","OH0571300","y2002_6",-1
"24","NV0010000","y2001_5",-1
"25","MO0190500","y2001_4",-1
"26","GA0310500","y2001_4",-1
"27","LA0100000","y2001_2",-1
"28","IN0640300","y2000_12",-1
"29","GA0330300","y2000_2",-2
"30","MO0880000","y1999_12",-1
"31","NM0290100","y1999_1",-1
"32","NJ003SP00","y1998_12",-1
"33","VA0430100","y1998_11",-1
"34","NJ0080600","y1998_11",-1
"35","NM0240300","y1998_9",-1
"36","CO0620400","y1998_8",-1
"37","NB0110300","y1998_4",-1
"38","NJ0100600","y1997_10",-1
"39","CA0301600","y1997_5",-1
"40","TN0900100","y1996_12",-1
"41","MO0953000","y1996_12",-1
"42","IN0300000","y1996_9",-4
"43","UT0020100","y1996_8",-1
"44","PA015SP00","y1996_4",-1
"45","NM0320300","y1996_4",-1
"46","PA0463100","y1995_12",-1
"47","IN0450700","y1995_10",-2
"48","OR0030600","y1995_6",-1
"49","TN0050200","y1995_3",-1
"50","MO0480600","y1994_12",-2
"51","GA0330100","y1994_6",-1
"52","CO0350300","y1994_4",-1
"53","NJ0010200","y1993_9",-1
"54","MO0260100","y1993_8",-1
"55","GA0290100","y1993_6",-1
"56","VA1160000","y1993_4",-1
"57","MO0160100","y1992_11",-1
"58","MO0100000","y1992_10",-2
"59","OH0700100","y1992_8",-1
"60","NV0160000","y1992_8",-1
"61","IN0450700","y1992_5",-1
"62","CO0010000","y1992_4",-1
"63","OH0182000","y1992_3",-1
"64","VA0440000","y1992_1",-1
"65","OR0200200","y1991_12",-1
"66","OH0700100","y1991_11",-1
"67","NB0010100","y1991_11",-1
"68","OH0700000","y1991_7",-1
"69","WA0171300","y1991_5",-1
"70","NC0370000","y1991_5",-1
"71","NC0120200","y1991_3",-1
"72","KY0760100","y1990_12",-1
"73","KY0070100","y1990_12",-1
"74","OH0184800","y1990_10",-1
"75","UT0250000","y1990_8",-1
"76","VA0430100","y1990_6",-1
"77","OH0181900","y1990_2",-1
"78","UT0250600","y1989_9",-1
"79","AZ0072900","y1988_9",-1
"80","CO0470000","y1987_11",-1
"81","CO0390100","y1987_11",-1
"82","PA036SP00","y1987_9",-1
"83","KS0890100","y1987_9",-1
"84","TN0570100","y1987_4",-1
"85","NJ0131600","y1986_12",-1
"86","NC0180200","y1986_12",-1
"87","NM0250100","y1986_11",-1
"88","NC0180200","y1986_11",-1
"89","OH0760400","y1986_8",-1
"90","NBNSP1300","y1986_7",-1
"91","MI3047300","y1986_5",-1
"92","OH0183600","y1986_1",-1
"93","OH0430100","y1985_12",-1
"94","NV0020200","y1985_12",-1
"95","CO0100000","y1985_12",-1
"96","CA0330100","y1985_10",-1
"97","CA0560800","y1985_10",-1
"98","TN0190100","y1985_9",-2
"99","SC0100100","y1985_7",-1
"100","IN0450900","y1985_5",-1
"101","CA0331400","y1985_5",-1
"102","CA0300300","y1985_5",-1
"103","CO0030000","y1985_3",-1
"104","VTVSP0000","y1985_2",-1
"105","MT0250100","y1985_1",-1
"106","CO0010300","y1985_1",-1
