"","row_ind","column_ind","values"
"1","PA0490100","y2020_12",-2
"2","CA0190400","y2020_12",-1
"3","TX0800000","y2020_11",-1
"4","MD0170800","y2020_7",-1
"5","NV0090000","y2020_3",-2
"6","MTDI05300","y2019_12",-1
"7","TX221119E","y2019_7",-1
"8","AZ0119700","y2019_6",-1
"9","PA0095100","y2019_3",-1
"10","PA0071000","y2019_3",-1
"11","WI0681000","y2019_2",-2
"12","PA0483100","y2019_1",-1
"13","PA0232000","y2019_1",-1
"14","GA0270000","y2018_8",-2
"15","MO0030300","y2018_7",-1
"16","GA0270000","y2018_5",-2
"17","CA0250100","y2018_4",-1
"18","PA0060600","y2018_3",-1
"19","PA0490700","y2017_12",-3
"20","LA0100800","y2017_12",-10
"21","GA0900000","y2017_12",-1
"22","GA1130000","y2017_12",-1
"23","AZ0130100","y2017_12",-1
"24","WY0050200","y2017_11",-1
"25","TX1100000","y2017_10",-7
"26","LA0100800","y2017_10",-1
"27","GA0150200","y2017_8",-1
"28","PA0060600","y2017_4",-1
"29","NYDI02200","y2017_4",-2
"30","PA0490100","y2017_3",-1
"31","NM0170400","y2016_12",-1
"32","PA0010400","y2016_11",-1
"33","GA0800000","y2016_9",-1
"34","AZDI06700","y2016_4",-1
"35","AZ0010000","y2016_2",-1
"36","GA0590200","y2015_12",-1
"37","CA0302300","y2015_11",-1
"38","WADI05600","y2015_9",-1
"39","NV0100100","y2015_8",-1
"40","GA0570000","y2015_8",-1
"41","CA0195700","y2015_8",-1
"42","IN0690100","y2015_7",-2
"43","AZ0119700","y2015_6",-1
"44","CA0191100","y2015_3",-1
"45","PA0631400","y2015_2",-1
"46","GA0990400","y2015_1",-1
"47","IN0240000","y2014_11",-1
"48","WI0020000","y2014_10",-1
"49","WY0020200","y2014_9",-2
"50","GA1200000","y2014_9",-1
"51","WI0510100","y2014_8",-1
"52","GA1320100","y2014_7",-1
"53","PA0026500","y2014_5",-1
"54","MO0700300","y2014_5",-1
"55","GA1320100","y2014_4",-1
"56","PA0403800","y2014_3",-1
"57","WI0240500","y2014_2",-1
"58","WI0510100","y2014_1",-1
"59","IN0220200","y2014_1",-1
"60","NV0050000","y2013_9",-2
"61","AK0011100","y2013_8",-1
"62","NV0090000","y2013_7",-1
"63","MS0610600","y2013_6",-1
"64","AK0014600","y2013_6",-1
"65","GA0440900","y2013_5",-1
"66","GA0710500","y2012_11",-1
"67","GA0280700","y2012_7",-1
"68","NV0150000","y2012_5",-1
"69","PA0634400","y2012_2",-1
"70","CA0193000","y2012_1",-1
"71","PA0542000","y2011_12",-1
"72","CA0191100","y2011_10",-2
"73","PA0026500","y2011_8",-1
"74","PA0491600","y2011_7",-1
"75","PA0027000","y2011_1",-1
"76","NJ0130100","y2010_10",-1
"77","CO0570000","y2010_10",-1
"78","PA0155000","y2010_6",-1
"79","PA0232700","y2010_2",-1
"80","UT0210700","y2010_1",-1
"81","PA0481400","y2009_12",-1
"82","PA0071500","y2009_12",-1
"83","CA0370400","y2009_12",-8
"84","PA0155000","y2009_11",-1
"85","GA0920300","y2009_10",-1
"86","PA0155000","y2009_9",-1
"87","PA0023800","y2009_8",-1
"88","PA0192200","y2009_4",-1
"89","NV0140000","y2009_4",-1
"90","UT0130000","y2009_3",-1
"91","PA0190500","y2008_12",-1
"92","MO0930000","y2008_12",-1
"93","PA0155000","y2008_8",-1
"94","WA0390700","y2008_7",-1
"95","MA009589E","y2008_6",-1
"96","PA0111300","y2008_1",-1
"97","PA0101900","y2008_1",-1
"98","PA0091800","y2008_1",-2
"99","PA0482800","y2007_12",-2
"100","PA0027000","y2007_12",-3
"101","AZ0040300","y2007_12",-1
"102","PA0155000","y2007_7",-1
"103","PA0155000","y2007_2",-1
"104","NV0090000","y2007_1",-1
"105","PA0464600","y2006_2",-1
"106","PA0026500","y2006_1",-1
"107","MO0560100","y2005_12",-9
"108","PA0026500","y2005_9",-1
"109","PA0382100","y2005_8",-1
"110","NV0090000","y2005_2",-1
"111","PA0491600","y2003_12",-1
"112","UT0110000","y2003_11",-1
"113","CA0230300","y2003_11",-54
"114","OH0501500","y2003_8",-1
"115","CA0193000","y2003_8",-1
"116","PA0026500","y2003_7",-1
"117","CO0570000","y2003_4",-1
"118","OH0431000","y2003_2",-1
"119","CA030470X","y2003_2",-1
"120","NJ0101900","y2003_1",-1
"121","PA0382100","y2002_7",-1
"122","NB0730000","y2002_5",-1
"123","NB0730000","y2002_4",-3
"124","WY0090100","y2002_1",-1
"125","PA0234800","y2002_1",-1
"126","CA0339700","y2001_12",-7
"127","PA0234800","y2001_11",-2
"128","NH0070000","y2001_11",-1
"129","NBNSP5500","y2001_5",-1
"130","NBNSP2200","y2001_2",-1
"131","NBNSP2300","y2001_2",-1
"132","PA0022400","y2000_8",-1
"133","NH0070000","y2000_7",-1
"134","PA0029900","y2000_4",-1
"135","PA0043200","y2000_3",-1
"136","PA0251900","y2000_3",-1
"137","PA0050200","y1999_12",-1
"138","PA0029900","y1999_8",-1
"139","PA0382100","y1999_8",-2
"140","PA0110200","y1999_6",-1
"141","PA0070900","y1999_6",-1
"142","PA0153200","y1999_5",-1
"143","IN0890200","y1999_4",-1
"144","NM0280000","y1999_1",-2
"145","NB0410000","y1999_1",-1
"146","NV0060000","y1998_12",-1
"147","PA0112900","y1998_6",-1
"148","PA0027800","y1998_2",-1
"149","PA0590900","y1998_1",-1
"150","AR0230600","y1997_9",-1
"151","OR0210300","y1997_6",-1
"152","PA0091500","y1997_5",-1
"153","CA0195700","y1997_3",-1
"154","NB0410000","y1997_2",-1
"155","CO0210600","y1997_2",-1
"156","OH0771700","y1997_1",-1
"157","NB0410000","y1997_1",-2
"158","PA0660400","y1996_10",-1
