"","row_ind","column_ind","values"
"1","AZDI08900","y2020_12",-1
"2","WI0720100","y2020_11",-1
"3","WI0680100","y2020_11",-1
"4","AK0012300","y2020_11",-1
"5","TX1390000","y2020_10",-1
"6","AZ0131400","y2020_10",-1
"7","TX057519E","y2020_5",-1
"8","NV0090000","y2020_3",-1
"9","WY0030100","y2020_2",-1
"10","TX0152200","y2020_2",-1
"11","CA037A500","y2020_1",-1
"12","CA030480X","y2020_1",-1
"13","AZ0130100","y2020_1",-1
"14","NM0150100","y2019_12",-2
"15","TX0500100","y2019_11",-1
"16","MS0240800","y2019_11",-1
"17","CA019900X","y2019_11",-1
"18","CA037A300","y2019_11",-1
"19","WI0380000","y2019_10",-1
"20","MD0200200","y2019_10",-1
"21","CA030490X","y2019_10",-2
"22","CA0150900","y2019_10",-1
"23","ME0100400","y2019_9",-1
"24","TX1390000","y2019_8",-1
"25","CA030360X","y2019_8",-1
"26","GA1140000","y2019_6",-1
"27","IN0180500","y2019_5",-1
"28","GA0330800","y2019_5",-2
"29","CA0190X0X","y2019_5",-1
"30","WI0590100","y2019_4",-1
"31","TX2200400","y2019_4",-1
"32","GA1480000","y2019_4",-1
"33","CA0301800","y2019_4",-1
"34","AZ0111100","y2019_4",-1
"35","WADI05500","y2019_3",-1
"36","MD0174100","y2019_3",-7
"37","TX0190000","y2019_2",-1
"38","CA0302300","y2019_1",-1
"39","MO0920900","y2018_12",-1
"40","ME0120000","y2018_12",-1
"41","LA0010100","y2018_12",-1
"42","MO0951400","y2018_11",-1
"43","GA0050300","y2018_11",-1
"44","IN0290400","y2018_10",-1
"45","TX1330000","y2018_9",-2
"46","ME0120200","y2018_9",-1
"47","NJ0122100","y2018_8",-1
"48","GA1090000","y2018_8",-2
"49","WY0170100","y2018_7",-1
"50","PA0640300","y2018_7",-1
"51","TX1620100","y2018_6",-1
"52","CA0360600","y2018_5",-1
"53","PA033SP00","y2018_3",-1
"54","CA030480X","y2018_3",-1
"55","AZ0080300","y2018_3",-2
"56","TX0940300","y2018_2",-1
"57","GA0750100","y2018_2",-2
"58","CA0194400","y2018_2",-1
"59","WI0590100","y2018_1",-2
"60","MO0330000","y2018_1",-1
"61","ME0030400","y2018_1",-1
"62","ME0050200","y2018_1",-1
"63","GA0050300","y2018_1",-1
"64","TX0570700","y2017_12",-1
"65","TX1100000","y2017_12",-1
"66","PA0550100","y2017_12",-1
"67","NM0320300","y2017_12",-4
"68","IN0640300","y2017_12",-1
"69","WY0080100","y2017_11",-1
"70","WI0130800","y2017_11",-1
"71","MD0130000","y2017_11",-4
"72","MD0200200","y2017_10",-1
"73","TX0610800","y2017_9",-1
"74","PA0095100","y2017_9",-1
"75","LA0520200","y2017_9",-1
"76","PA0231800","y2017_8",-1
"77","MO0950200","y2017_8",-1
"78","CA0400300","y2017_7",-1
"79","CA0190X0X","y2017_7",-1
"80","LA0520100","y2017_6",-1
"81","PA0661200","y2017_5",-1
"82","GA1120000","y2017_5",-1
"83","UT0251900","y2017_3",-1
"84","TX0610800","y2017_3",-1
"85","PA0362300","y2017_3",-1
"86","MS0170400","y2017_3",-2
"87","MO0190600","y2017_2",-1
"88","WI0370300","y2017_1",-1
"89","WI0130800","y2017_1",-1
"90","PA0231400","y2017_1",-1
"91","PA0131000","y2017_1",-1
"92","MO0940300","y2017_1",-1
"93","MD0070000","y2017_1",-1
"94","GA1120000","y2017_1",-2
"95","PA053SP00","y2016_12",-1
"96","CA0370400","y2016_12",-1
"97","PA0362300","y2016_11",-1
"98","NV0150000","y2016_11",-1
"99","MO0950D00","y2016_11",-1
"100","MO0950900","y2016_11",-1
"101","MD0030400","y2016_11",-1
"102","NJ0041700","y2016_9",-1
"103","PA0364800","y2016_8",-1
"104","MO0240000","y2016_8",-1
"105","MO0953200","y2016_7",-1
"106","CA0290200","y2016_7",-1
"107","GA1130000","y2016_6",-1
"108","GA1130100","y2016_6",-1
"109","MO0350900","y2016_5",-1
"110","GA0600900","y2016_5",-1
"111","MS0610400","y2016_4",-1
"112","GA0605700","y2016_4",-1
"113","NJ0011100","y2016_2",-1
"114","GA044149E","y2016_2",-1
"115","GA0605700","y2016_1",-1
"116","AZ0073300","y2016_1",-1
"117","MO0600500","y2015_12",-1
"118","PA0231800","y2015_11",-1
"119","PA0020200","y2015_9",-1
"120","NJ0030600","y2015_9",-1
"121","OH0830300","y2015_8",-1
"122","MNDI06000","y2015_8",-1
"123","IN0240000","y2015_7",-1
"124","CA0190D0X","y2015_7",-1
"125","PA0113100","y2015_6",-1
"126","AZ0020000","y2015_5",-1
"127","PA0063600","y2015_4",-1
"128","MO0958000","y2015_4",-1
"129","MS0610000","y2015_3",-1
"130","WI0590100","y2015_2",-1
"131","NC0760500","y2015_1",-1
"132","AZ0073300","y2015_1",-1
"133","MO0500700","y2014_12",-1
"134","PA0070200","y2014_11",-1
"135","CA0198400","y2014_11",-1
"136","CA037A300","y2014_11",-1
"137","GA0280500","y2014_10",-2
"138","MS0170200","y2014_9",-1
"139","MD0230000","y2014_9",-1
"140","GA1200000","y2014_9",-1
"141","MO0940300","y2014_8",-1
"142","GA0720100","y2014_7",-1
"143","GA0670500","y2014_7",-1
"144","GA0200000","y2014_7",-1
"145","IN0290400","y2014_6",-1
"146","PA0363700","y2014_5",-1
"147","CA0410300","y2014_5",-1
"148","WI0590100","y2014_4",-1
"149","NV0020400","y2014_4",-1
"150","CA0301400","y2014_4",-1
"151","PA0363700","y2014_1",-1
"152","PA0100400","y2014_1",-1
"153","CA0192H0X","y2014_1",-1
"154","PA0029100","y2013_12",-1
"155","OH0571300","y2013_12",-1
"156","UT0190100","y2013_11",-1
"157","OH0250300","y2013_11",-1
"158","GA1510000","y2013_11",-1
"159","PA050SP00","y2013_5",-1
"160","NV0021000","y2013_5",-1
"161","MD0070100","y2013_5",-1
"162","WY0210100","y2013_4",-1
"163","PA25BCI0X","y2013_4",-1
"164","MD0150000","y2013_4",-1
"165","NV0020400","y2013_3",-1
"166","CA0192700","y2013_3",-1
"167","CA0280300","y2013_3",-1
"168","AK0014600","y2013_3",-1
"169","NV0020900","y2013_2",-2
"170","ME0100100","y2013_2",-1
"171","ME0100400","y2013_2",-1
"172","MO0690200","y2013_1",-1
"173","ME0090000","y2013_1",-1
"174","GA0200000","y2013_1",-2
"175","PA0402300","y2012_12",-1
"176","MD0010300","y2012_12",-1
"177","CA0491300","y2012_12",-1
"178","MO0360800","y2012_10",-1
"179","PA0651200","y2012_9",-2
"180","PA0020E00","y2012_9",-1
"181","PAPSP9400","y2012_9",-1
"182","OH0313700","y2012_8",-1
"183","MD0040100","y2012_8",-2
"184","OH0250300","y2012_7",-1
"185","OH0571300","y2012_7",-1
"186","PA0405600","y2012_6",-1
"187","GA1260100","y2012_6",-1
"188","CA0195000","y2012_6",-8
"189","PA0010500","y2012_4",-1
"190","PA0110500","y2012_3",-1
"191","PA043SP00","y2012_3",-1
"192","PA0674800","y2012_3",-1
"193","OH0250300","y2012_3",-1
"194","MO0954300","y2012_3",-1
"195","MO0955200","y2012_2",-1
"196","ME0101800","y2012_2",-1
"197","PA0650100","y2012_1",-1
"198","PA062SP00","y2012_1",-1
"199","PA0670300","y2012_1",-1
"200","ME0101800","y2012_1",-1
"201","AZ0131100","y2012_1",-1
"202","PA0190300","y2011_12",-2
"203","WA0240100","y2011_11",-1
"204","PA0363700","y2011_11",-1
"205","PA0320300","y2011_11",-1
"206","MO0951900","y2011_11",-1
"207","CA030490X","y2011_11",-1
"208","GA0605400","y2011_10",-1
"209","CA0190X0X","y2011_10",-1
"210","CA0301800","y2011_10",-1
"211","UT0100000","y2011_9",-2
"212","PA0360300","y2011_9",-1
"213","OH0313700","y2011_9",-1
"214","MO0954300","y2011_9",-1
"215","AK0012700","y2011_9",-1
"216","OH0091500","y2011_8",-1
"217","NJ0123000","y2011_8",-1
"218","PA024SP00","y2011_7",-1
"219","UT0180700","y2011_6",-1
"220","AK0014300","y2011_6",-1
"221","MO0890000","y2011_5",-1
"222","CA033410X","y2011_4",-1
"223","UT0030000","y2011_3",-1
"224","CA030470X","y2011_3",-1
"225","PA0360300","y2011_2",-1
"226","MS0750100","y2011_2",-1
"227","GA0310200","y2011_2",-2
"228","CA0194400","y2011_2",-1
"229","AK0012300","y2011_2",-2
"230","UT0210000","y2011_1",-1
"231","PA018SP00","y2011_1",-1
"232","MD0172500","y2011_1",-1
"233","CA030430X","y2011_1",-1
"234","WA0172400","y2010_12",-1
"235","MD0160300","y2010_12",-1
"236","MD0150000","y2010_12",-1
"237","WA0380500","y2010_11",-1
"238","CA0370400","y2010_11",-1
"239","NV0040000","y2010_10",-2
"240","MO0951900","y2010_10",-1
"241","CO0490100","y2010_10",-1
"242","AZ0030000","y2010_10",-1
"243","CO0070300","y2010_8",-1
"244","NJ0122100","y2010_7",-1
"245","MO0440400","y2010_7",-1
"246","GA0380000","y2010_7",-1
"247","CA0562200","y2010_7",-1
"248","PA0400700","y2010_6",-1
"249","CA0310000","y2010_6",-1
"250","PA0463700","y2010_5",-1
"251","PA0362600","y2010_5",-1
"252","CA0370400","y2010_5",-1
