"","county","year","month","temp_avg","temp_min","temp_max","precip"
"1","Albany",2023,1,36.3,29.7,42.9,"5.59"
"2","Allegany",2023,1,35.9,29.3,42.5,"3.43"
"3","Bronx",2023,1,43.2,37.1,49.4,"7.06"
"4","Broome",2023,1,36.1,30.1,42,"6.11"
"5","Cattaraugus",2023,1,36.3,29.7,42.9,"3.29"
"6","Cayuga",2023,1,36.9,31.8,42.1,"5.21"
"7","Chautauqua",2023,1,38,31.9,44.2,"3.48"
"8","Chemung",2023,1,35.8,29.1,42.6,"5.14"
"9","Chenango",2023,1,35.3,29.6,41,"6.49"
"10","Clinton",2023,1,30.6,24.2,37.1,"4.59"
"11","Columbia",2023,1,37.4,30,44.7,"6.02"
"12","Cortland",2023,1,35,29.3,40.6,"6.37"
"13","Delaware",2023,1,34.1,27.9,40.3,"6.1"
"14","Dutchess",2023,1,37.9,30.3,45.5,"7.02"
"15","Erie",2023,1,38.2,32.8,43.7,"3.84"
"16","Essex",2023,1,29.6,23.5,35.7,"6.86"
"17","Franklin",2023,1,29.8,23.5,36.1,"5.6"
"18","Fulton",2023,1,32.8,26.2,39.4,"6.86"
"19","Genesee",2023,1,37.5,32.2,42.8,"3.24"
"20","Greene",2023,1,35.3,28.5,42,"6.38"
"21","Hamilton",2023,1,29.8,23.6,36,"7.25"
"22","Herkimer",2023,1,31.6,25.3,38,"6.37"
"23","Jefferson",2023,1,34.6,29.2,40,"5.01"
"24","Kings",2023,1,43.5,37.5,49.5,"7.48"
"25","Lewis",2023,1,32.1,26.1,38.1,"5.24"
"26","Livingston",2023,1,37.7,31.7,43.6,"3.42"
"27","Madison",2023,1,35.1,29.5,40.7,"5.78"
"28","Monroe",2023,1,38.8,33.6,43.9,"3.33"
"29","Montgomery",2023,1,34.9,28.1,41.7,"5.77"
"30","Nassau",2023,1,42.8,36.3,49.3,"8.21"
"31","New York",2023,1,43.5,37.4,49.7,"7.24"
"32","Niagara",2023,1,38.5,34,43,"3.59"
"33","Oneida",2023,1,34.6,28.8,40.3,"5.95"
"34","Onondaga",2023,1,36.9,31.6,42.2,"5.14"
"35","Ontario",2023,1,37.4,31.9,42.8,"3.73"
"36","Orange",2023,1,37.8,31,44.7,"7.76"
"37","Orleans",2023,1,38.4,33.3,43.5,"3.43"
"38","Oswego",2023,1,36.5,31.2,41.9,"5.48"
"39","Otsego",2023,1,33.8,27.6,40.1,"6.69"
"40","Putnam",2023,1,38.3,31.1,45.5,"7.79"
"41","Queens",2023,1,43.2,37,49.3,"7.57"
"42","Rensselaer",2023,1,36.5,29.8,43.1,"5.71"
"43","Richmond",2023,1,43.1,36.8,49.6,"8"
"44","Rockland",2023,1,39.9,32.7,47.1,"7.4"
"45","Saratoga",2023,1,34.5,28.1,40.8,"4.81"
"46","Schenectady",2023,1,35.6,29,42.1,"5.97"
"47","Schoharie",2023,1,34.1,27.3,40.8,"5.27"
"48","Schuyler",2023,1,35.7,29.3,42.2,"5.15"
"49","Seneca",2023,1,37.5,32.2,42.8,"4.69"
"50","St. Lawrence",2023,1,31.7,25.8,37.6,"4.41"
"51","Steuben",2023,1,36,29.2,42.7,"3.75"
"52","Suffolk",2023,1,41.6,34.2,49,"7.66"
"53","Sullivan",2023,1,35.5,28.8,42.1,"6.82"
"54","Tioga",2023,1,36,29.6,42.4,"5.91"
"55","Tompkins",2023,1,35.6,29.6,41.6,"5.71"
"56","Ulster",2023,1,36.2,29.5,42.9,"7.59"
"57","Warren",2023,1,32.1,25.9,38.3,"6.91"
"58","Washington",2023,1,34.8,28.3,41.2,"5.38"
"59","Wayne",2023,1,38.1,33,43.2,"3.64"
"60","Westchester",2023,1,40.3,33.2,47.4,"7.22"
"61","Wyoming",2023,1,36.1,30.3,41.9,"3.3"
"62","Yates",2023,1,36.8,31,42.6,"3.88"
"63","Albany",2023,1,38,28.8,47.2,"1.85"
"64","Allegany",2023,1,37,27.9,46.1,"1.86"
"65","Bronx",2023,1,45.4,37.4,53.4,"2.83"
"66","Broome",2023,1,36.9,28.8,45,"1.7"
"67","Cattaraugus",2023,1,37,27.6,46.5,"2.31"
"68","Cayuga",2023,1,37.7,30.6,44.9,"2.18"
"69","Chautauqua",2023,1,39.1,30.4,47.7,"2.35"
"70","Chemung",2023,1,37.6,28.2,47.1,"1.23"
"71","Chenango",2023,1,35.3,27.6,43.1,"2.18"
"72","Clinton",2023,1,33.1,25.4,40.8,"1.81"
"73","Columbia",2023,1,38.4,28.9,47.8,"1.65"
"74","Cortland",2023,1,35.3,27.7,42.9,"1.8"
"75","Delaware",2023,1,35.1,26,44.1,"1.9"
"76","Dutchess",2023,1,39.2,29.1,49.2,"2.09"
"77","Erie",2023,1,39.1,30.7,47.4,"2.73"
"78","Essex",2023,1,30.7,22.8,38.5,"2.83"
"79","Franklin",2023,1,31.7,23.9,39.4,"2.46"
"80","Fulton",2023,1,34.6,25.7,43.4,"3.11"
"81","Genesee",2023,1,38.1,29.9,46.3,"2.07"
"82","Greene",2023,1,36.8,27.5,46,"1.95"
"83","Hamilton",2023,1,30.2,22.1,38.3,"3.56"
"84","Herkimer",2023,1,32.2,24.1,40.4,"3.81"
"85","Jefferson",2023,1,36,28.6,43.4,"2.91"
"86","Kings",2023,1,45.8,38,53.6,"2.66"
"87","Lewis",2023,1,32.7,24.9,40.4,"3.99"
"88","Livingston",2023,1,38.6,30,47.3,"1.51"
"89","Madison",2023,1,35.4,27.8,42.9,"2.42"
"90","Monroe",2023,1,39.3,31.4,47.2,"2.29"
"91","Montgomery",2023,1,36.8,27.6,46.1,"2.48"
"92","Nassau",2023,1,44.9,36.4,53.5,"2.19"
"93","New York",2023,1,45.6,37.6,53.5,"2.87"
"94","Niagara",2023,1,39.1,32,46.2,"1.94"
"95","Oneida",2023,1,35.1,27.4,42.8,"3.52"
"96","Onondaga",2023,1,37.7,30.5,45,"2.38"
"97","Ontario",2023,1,38.4,30.2,46.6,"1.62"
"98","Orange",2023,1,39.4,29.7,49.1,"2.09"
"99","Orleans",2023,1,38.7,31,46.4,"2.43"
"100","Oswego",2023,1,37.5,30.1,44.9,"3.48"
"101","Otsego",2023,1,34.8,26.2,43.5,"2.66"
"102","Putnam",2023,1,40,30.2,49.7,"2.41"
"103","Queens",2023,1,45.5,37.4,53.6,"2.5"
"104","Rensselaer",2023,1,37.4,28.4,46.5,"2.11"
"105","Richmond",2023,1,45.3,37,53.7,"2.76"
"106","Rockland",2023,1,41.6,32,51.2,"2.8"
"107","Saratoga",2023,1,36.1,27,45.1,"2.39"
"108","Schenectady",2023,1,37.5,28.3,46.7,"2.71"
"109","Schoharie",2023,1,35.9,26.7,45.1,"2.04"
"110","Schuyler",2023,1,37.2,28.3,46.1,"2.11"
"111","Seneca",2023,1,38.3,30.7,45.9,"1.3"
"112","St. Lawrence",2023,1,33.8,26,41.5,"1.7"
"113","Steuben",2023,1,37.5,28.4,46.6,"1.45"
"114","Suffolk",2023,1,43.4,33.6,53.1,"1.92"
"115","Sullivan",2023,1,37,27.5,46.4,"2.15"
"116","Tioga",2023,1,37.5,28.5,46.6,"1.37"
"117","Tompkins",2023,1,36.7,28.5,44.9,"1.48"
"118","Ulster",2023,1,37.7,28.4,47,"2.19"
"119","Warren",2023,1,33.1,24.8,41.5,"3.2"
"120","Washington",2023,1,35.8,26.8,44.8,"2.52"
"121","Wayne",2023,1,38.7,31.1,46.2,"2.06"
"122","Westchester",2023,1,42.2,32.7,51.7,"2.69"
"123","Wyoming",2023,1,37.2,28.9,45.5,"2.21"
"124","Yates",2023,1,38,29.6,46.4,"1.36"
