"","county","month","year","deaths","event"
"1","Broome ",1,1996,0,"cold"
"2","Chemung ",1,1996,0,"cold"
"3","Chenango ",1,1996,0,"cold"
"4","Cortland ",1,1996,0,"cold"
"5","Delaware ",1,1996,0,"cold"
"6","Eastern albany ",1,1996,0,"cold"
"7","Eastern columbia ",1,1996,0,"cold"
"8","Eastern dutchess ",1,1996,0,"cold"
"9","Eastern greene ",1,1996,0,"cold"
"10","Eastern rensselaer ",1,1996,0,"cold"
"11","Eastern schenectady ",1,1996,0,"cold"
"12","Eastern ulster ",1,1996,0,"cold"
"13","Hamilton ",1,1996,0,"cold"
"14","Madison ",1,1996,0,"cold"
"15","Montgomery ",1,1996,0,"cold"
"16","Northern herkimer ",1,1996,0,"cold"
"17","Northern oneida ",1,1996,0,"cold"
"18","Northern saratoga ",1,1996,0,"cold"
"19","Northern st. Lawrence ",1,1996,0,"cold"
"20","Northern warren ",1,1996,0,"cold"
"21","Northern washington ",1,1996,0,"cold"
"22","Onondaga ",1,1996,0,"cold"
"23","Otsego ",1,1996,0,"cold"
"24","Schoharie ",1,1996,0,"cold"
"25","Schuyler ",1,1996,0,"cold"
"26","Seneca ",1,1996,0,"cold"
"27","Southern cayuga ",1,1996,0,"cold"
"28","Southern fulton ",1,1996,0,"cold"
"29","Southern herkimer ",1,1996,0,"cold"
"30","Southern oneida ",1,1996,0,"cold"
"31","Southern saratoga ",1,1996,0,"cold"
"32","Steuben ",1,1996,0,"cold"
"33","Sullivan ",1,1996,0,"cold"
"34","Tioga ",1,1996,0,"cold"
"35","Tompkins ",1,1996,0,"cold"
"36","Western albany ",1,1996,0,"cold"
"37","Western columbia ",1,1996,0,"cold"
"38","Western dutchess ",1,1996,0,"cold"
"39","Western greene ",1,1996,0,"cold"
"40","Western rensselaer ",1,1996,0,"cold"
"41","Western schenectady ",1,1996,0,"cold"
"42","Western ulster ",1,1996,0,"cold"
"43","Yates ",1,1996,0,"cold"
"44","Broome ",2,1996,0,"cold"
"45","Broome ",3,1996,0,"cold"
"46","Chemung ",3,1996,0,"cold"
"47","Chenango ",3,1996,0,"cold"
"48","Cortland ",3,1996,0,"cold"
"49","Delaware ",3,1996,0,"cold"
"50","Otsego ",3,1996,0,"cold"
"51","Schuyler ",3,1996,0,"cold"
"52","Steuben ",3,1996,0,"cold"
"53","Sullivan ",3,1996,0,"cold"
"54","Tioga ",3,1996,0,"cold"
"55","Tompkins ",3,1996,0,"cold"
"56","Broome ",5,1996,0,"cold"
"57","Chemung ",5,1996,0,"cold"
"58","Chenango ",5,1996,0,"cold"
"59","Cortland ",5,1996,0,"cold"
"60","Delaware ",5,1996,0,"cold"
"61","Onondaga ",5,1996,0,"cold"
"62","Otsego ",5,1996,0,"cold"
"63","Schuyler ",5,1996,0,"cold"
"64","Seneca ",5,1996,0,"cold"
"65","Southern cayuga ",5,1996,0,"cold"
"66","Steuben ",5,1996,0,"cold"
"67","Sullivan ",5,1996,0,"cold"
"68","Tioga ",5,1996,0,"cold"
"69","Tompkins ",5,1996,0,"cold"
"70","Broome ",10,1996,0,"cold"
"71","Chemung ",10,1996,0,"cold"
"72","Chenango ",10,1996,0,"cold"
"73","Cortland ",10,1996,0,"cold"
"74","Delaware ",10,1996,0,"cold"
"75","Madison ",10,1996,0,"cold"
"76","Northern oneida ",10,1996,0,"cold"
"77","Onondaga ",10,1996,0,"cold"
"78","Otsego ",10,1996,0,"cold"
"79","Schuyler ",10,1996,0,"cold"
"80","Seneca ",10,1996,0,"cold"
"81","Southern cayuga ",10,1996,0,"cold"
"82","Southern oneida ",10,1996,0,"cold"
"83","Steuben ",10,1996,0,"cold"
"84","Sullivan ",10,1996,0,"cold"
"85","Tioga ",10,1996,0,"cold"
"86","Tompkins ",10,1996,0,"cold"
"87","Yates ",10,1996,0,"cold"
"88","Broome ",1,1997,0,"cold"
"89","Chemung ",1,1997,0,"cold"
"90","Chenango ",1,1997,0,"cold"
"91","Cortland ",1,1997,0,"cold"
"92","Delaware ",1,1997,0,"cold"
"93","Eastern clinton ",1,1997,0,"cold"
"94","Eastern essex ",1,1997,0,"cold"
"95","Madison ",1,1997,0,"cold"
"96","Nassau ",1,1997,1,"cold"
"97","Northern franklin ",1,1997,0,"cold"
"98","Northern oneida ",1,1997,0,"cold"
"99","Northern st. Lawrence ",1,1997,0,"cold"
"100","Onondaga ",1,1997,0,"cold"
"101","Otsego ",1,1997,0,"cold"
"102","Schuyler ",1,1997,0,"cold"
"103","Seneca ",1,1997,0,"cold"
"104","Southeastern st. Lawrence ",1,1997,0,"cold"
"105","Southern cayuga ",1,1997,0,"cold"
"106","Southern franklin ",1,1997,0,"cold"
"107","Southern oneida ",1,1997,0,"cold"
"108","Steuben ",1,1997,0,"cold"
"109","Sullivan ",1,1997,0,"cold"
"110","Tioga ",1,1997,0,"cold"
"111","Tompkins ",1,1997,0,"cold"
"112","Western clinton ",1,1997,0,"cold"
"113","Western essex ",1,1997,0,"cold"
"114","Yates ",1,1997,0,"cold"
"115","Eastern essex ",12,1998,0,"cold"
"116","Northeast clinton ",12,1998,0,"cold"
"117","Northern franklin ",12,1998,0,"cold"
"118","Northern st. Lawrence ",12,1998,0,"cold"
"119","Southern franklin ",12,1998,0,"cold"
"120","Southern st. Lawrence ",12,1998,0,"cold"
"121","Southwest clinton ",12,1998,0,"cold"
"122","Western essex ",12,1998,0,"cold"
"123","Broome ",7,2000,0,"cold"
"124","Chemung ",7,2000,0,"cold"
"125","Chenango ",7,2000,0,"cold"
"126","Cortland ",7,2000,0,"cold"
"127","Delaware ",7,2000,0,"cold"
"128","Eastern albany ",7,2000,0,"cold"
"129","Eastern columbia ",7,2000,0,"cold"
"130","Eastern dutchess ",7,2000,0,"cold"
"131","Eastern greene ",7,2000,0,"cold"
"132","Eastern rensselaer ",7,2000,0,"cold"
"133","Eastern schenectady ",7,2000,0,"cold"
"134","Eastern ulster ",7,2000,0,"cold"
"135","Fulton ",7,2000,0,"cold"
"136","Hamilton ",7,2000,0,"cold"
"137","Madison ",7,2000,0,"cold"
"138","Montgomery ",7,2000,0,"cold"
"139","Northern herkimer ",7,2000,0,"cold"
"140","Northern oneida ",7,2000,0,"cold"
"141","Northern saratoga ",7,2000,0,"cold"
"142","Onondaga ",7,2000,0,"cold"
"143","Otsego ",7,2000,0,"cold"
"144","Schoharie ",7,2000,0,"cold"
"145","Schuyler ",7,2000,0,"cold"
"146","Seneca ",7,2000,0,"cold"
"147","Southern cayuga ",7,2000,0,"cold"
"148","Southern herkimer ",7,2000,0,"cold"
"149","Southern oneida ",7,2000,0,"cold"
"150","Southern saratoga ",7,2000,0,"cold"
"151","Steuben ",7,2000,0,"cold"
"152","Sullivan ",7,2000,0,"cold"
"153","Tioga ",7,2000,0,"cold"
"154","Tompkins ",7,2000,0,"cold"
"155","Warren ",7,2000,0,"cold"
"156","Washington ",7,2000,0,"cold"
"157","Western albany ",7,2000,0,"cold"
"158","Western columbia ",7,2000,0,"cold"
"159","Western dutchess ",7,2000,0,"cold"
"160","Western greene ",7,2000,0,"cold"
"161","Western rensselaer ",7,2000,0,"cold"
"162","Western schenectady ",7,2000,0,"cold"
"163","Western ulster ",7,2000,0,"cold"
"164","Yates ",7,2000,0,"cold"
"165","Chenango ",3,2003,0,"cold"
"166","Cortland ",3,2003,0,"cold"
"167","Madison ",3,2003,0,"cold"
"168","Northern oneida ",3,2003,0,"cold"
"169","Onondaga ",3,2003,0,"cold"
"170","Otsego ",3,2003,0,"cold"
"171","Southern oneida ",3,2003,0,"cold"
"172","Bronx ",1,2004,0,"cold"
"173","Broome ",1,2004,0,"cold"
"174","Chemung ",1,2004,0,"cold"
"175","Chenango ",1,2004,0,"cold"
"176","Cortland ",1,2004,0,"cold"
