"","county","month","year","deaths","event"
"1","Dallas ",3,2002,2,"extreme cold"
"2","Brown ",1,2010,0,"extreme cold"
"3","Callahan ",1,2010,0,"extreme cold"
"4","Coke ",1,2010,0,"extreme cold"
"5","Coleman ",1,2010,0,"extreme cold"
"6","Concho ",1,2010,0,"extreme cold"
"7","Crockett ",1,2010,0,"extreme cold"
"8","Irion ",1,2010,0,"extreme cold"
"9","Jones ",1,2010,0,"extreme cold"
"10","Kimble ",1,2010,0,"extreme cold"
"11","Mason ",1,2010,0,"extreme cold"
"12","Mcculloch ",1,2010,0,"extreme cold"
"13","Menard ",1,2010,0,"extreme cold"
"14","San saba ",1,2010,0,"extreme cold"
"15","Schleicher ",1,2010,0,"extreme cold"
"16","Shackelford ",1,2010,0,"extreme cold"
"17","Sutton ",1,2010,0,"extreme cold"
"18","Taylor ",1,2010,0,"extreme cold"
"19","Throckmorton ",1,2010,0,"extreme cold"
"20","Tom green ",1,2010,0,"extreme cold"
"21","Bailey ",2,2011,0,"extreme cold"
"22","Briscoe ",2,2011,0,"extreme cold"
"23","Castro ",2,2011,0,"extreme cold"
"24","Childress ",2,2011,0,"extreme cold"
"25","Cochran ",2,2011,0,"extreme cold"
"26","Cottle ",2,2011,0,"extreme cold"
"27","Crosby ",2,2011,0,"extreme cold"
"28","Davis / apache mountains area ",2,2011,0,"extreme cold"
"29","Dawson ",2,2011,0,"extreme cold"
"30","El paso ",2,2011,0,"extreme cold"
"31","Floyd ",2,2011,0,"extreme cold"
"32","Garza ",2,2011,0,"extreme cold"
"33","Guadalupe mountains of culberson county ",2,2011,0,"extreme cold"
"34","Hale ",2,2011,0,"extreme cold"
"35","Hall ",2,2011,0,"extreme cold"
"36","Hockley ",2,2011,0,"extreme cold"
"37","Hudspeth ",2,2011,0,"extreme cold"
"38","King ",2,2011,0,"extreme cold"
"39","Lamb ",2,2011,0,"extreme cold"
"40","Lubbock ",2,2011,1,"extreme cold"
"41","Lynn ",2,2011,0,"extreme cold"
"42","Marfa plateau ",2,2011,0,"extreme cold"
"43","Motley ",2,2011,0,"extreme cold"
"44","Parmer ",2,2011,0,"extreme cold"
"45","Swisher ",2,2011,0,"extreme cold"
"46","Terry ",2,2011,1,"extreme cold"
"47","Yoakum ",2,2011,0,"extreme cold"
"48","Carson ",12,2016,0,"extreme cold"
"49","Dallam ",12,2016,0,"extreme cold"
"50","Gray ",12,2016,0,"extreme cold"
"51","Hansford ",12,2016,0,"extreme cold"
"52","Hartley ",12,2016,0,"extreme cold"
"53","Hutchinson ",12,2016,0,"extreme cold"
"54","Lipscomb ",12,2016,0,"extreme cold"
"55","Moore ",12,2016,0,"extreme cold"
"56","Ochiltree ",12,2016,0,"extreme cold"
"57","Sherman ",12,2016,0,"extreme cold"
"58","Gregg ",1,2017,1,"extreme cold"
"59","Dallas ",1,2018,2,"extreme cold"
"60","Harris ",1,2018,5,"extreme cold"
"61","Anderson ",2,2021,0,"extreme cold"
"62","Armstrong ",2,2021,0,"extreme cold"
"63","Atascosa ",2,2021,0,"extreme cold"
"64","Austin ",2,2021,0,"extreme cold"
"65","Bandera ",2,2021,0,"extreme cold"
"66","Bastrop ",2,2021,0,"extreme cold"
"67","Bell ",2,2021,0,"extreme cold"
"68","Bexar ",2,2021,1,"extreme cold"
"69","Blanco ",2,2021,0,"extreme cold"
"70","Bosque ",2,2021,0,"extreme cold"
"71","Brazos ",2,2021,0,"extreme cold"
