"","county","month","year","deaths","event"
"1","Eastern albany ",3,2000,0,"extreme heat"
"2","Eastern columbia ",3,2000,0,"extreme heat"
"3","Eastern dutchess ",3,2000,0,"extreme heat"
"4","Eastern greene ",3,2000,0,"extreme heat"
"5","Eastern rensselaer ",3,2000,0,"extreme heat"
"6","Eastern schenectady ",3,2000,0,"extreme heat"
"7","Eastern ulster ",3,2000,0,"extreme heat"
"8","Fulton ",3,2000,0,"extreme heat"
"9","Hamilton ",3,2000,0,"extreme heat"
"10","Montgomery ",3,2000,0,"extreme heat"
"11","Northern herkimer ",3,2000,0,"extreme heat"
"12","Northern saratoga ",3,2000,0,"extreme heat"
"13","Schoharie ",3,2000,0,"extreme heat"
"14","Southern herkimer ",3,2000,0,"extreme heat"
"15","Southern saratoga ",3,2000,0,"extreme heat"
"16","Warren ",3,2000,0,"extreme heat"
"17","Washington ",3,2000,0,"extreme heat"
"18","Western albany ",3,2000,0,"extreme heat"
"19","Western columbia ",3,2000,0,"extreme heat"
"20","Western dutchess ",3,2000,0,"extreme heat"
"21","Western greene ",3,2000,0,"extreme heat"
"22","Western rensselaer ",3,2000,0,"extreme heat"
"23","Western schenectady ",3,2000,0,"extreme heat"
"24","Western ulster ",3,2000,0,"extreme heat"
"25","Eastern albany ",12,2001,0,"extreme heat"
"26","Eastern albany ",4,2002,0,"extreme heat"
"27","Broome ",10,2007,0,"extreme heat"
"28","Onondaga ",10,2007,0,"extreme heat"
"29","Kings (brooklyn) ",7,2010,2,"extreme heat"
"30","New york (manhattan) ",7,2010,2,"extreme heat"
"31","Queens ",7,2010,4,"extreme heat"
"32","Richmond (staten is.) ",7,2010,2,"extreme heat"
"33","Bronx ",7,2011,6,"extreme heat"
"34","Broome ",7,2011,0,"extreme heat"
"35","Chemung ",7,2011,0,"extreme heat"
"36","Chenango ",7,2011,0,"extreme heat"
"37","Cortland ",7,2011,0,"extreme heat"
"38","Delaware ",7,2011,0,"extreme heat"
"39","Eastern albany ",7,2011,0,"extreme heat"
"40","Eastern dutchess ",7,2011,0,"extreme heat"
"41","Eastern greene ",7,2011,0,"extreme heat"
"42","Eastern schenectady ",7,2011,0,"extreme heat"
"43","Eastern ulster ",7,2011,0,"extreme heat"
"44","Kings (brooklyn) ",7,2011,7,"extreme heat"
"45","Madison ",7,2011,0,"extreme heat"
"46","New york (manhattan) ",7,2011,4,"extreme heat"
"47","Northeast suffolk ",7,2011,0,"extreme heat"
"48","Northern nassau ",7,2011,0,"extreme heat"
"49","Northern oneida ",7,2011,0,"extreme heat"
"50","Northern queens ",7,2011,0,"extreme heat"
"51","Northern saratoga ",7,2011,0,"extreme heat"
"52","Northern westchester ",7,2011,0,"extreme heat"
"53","Northwest suffolk ",7,2011,0,"extreme heat"
"54","Onondaga ",7,2011,0,"extreme heat"
"55","Orange ",7,2011,1,"extreme heat"
"56","Otsego ",7,2011,0,"extreme heat"
"57","Putnam ",7,2011,0,"extreme heat"
"58","Richmond (staten is.) ",7,2011,0,"extreme heat"
"59","Rockland ",7,2011,0,"extreme heat"
"60","Schuyler ",7,2011,0,"extreme heat"
"61","Seneca ",7,2011,0,"extreme heat"
"62","Southeast suffolk ",7,2011,0,"extreme heat"
"63","Southeast warren ",7,2011,0,"extreme heat"
"64","Southern cayuga ",7,2011,0,"extreme heat"
"65","Southern nassau ",7,2011,0,"extreme heat"
"66","Southern oneida ",7,2011,0,"extreme heat"
"67","Southern queens ",7,2011,2,"extreme heat"
"68","Southern saratoga ",7,2011,0,"extreme heat"
"69","Southern washington ",7,2011,0,"extreme heat"
"70","Southern westchester ",7,2011,0,"extreme heat"
"71","Southwest suffolk ",7,2011,0,"extreme heat"
"72","Steuben ",7,2011,0,"extreme heat"
"73","Sullivan ",7,2011,0,"extreme heat"
"74","Tioga ",7,2011,0,"extreme heat"
"75","Tompkins ",7,2011,0,"extreme heat"
"76","Western columbia ",7,2011,0,"extreme heat"
"77","Western dutchess ",7,2011,0,"extreme heat"
"78","Western rensselaer ",7,2011,0,"extreme heat"
"79","Yates ",7,2011,0,"extreme heat"
"80","Southern queens ",6,2012,1,"extreme heat"
"81","Bronx ",7,2012,0,"extreme heat"
"82","New york (manhattan) ",7,2012,0,"extreme heat"
"83","Northern queens ",7,2012,0,"extreme heat"
"84","Northern westchester ",7,2012,0,"extreme heat"
"85","Orange ",7,2012,0,"extreme heat"
"86","Putnam ",7,2012,0,"extreme heat"
"87","Rockland ",7,2012,0,"extreme heat"
"88","Bronx ",7,2013,1,"extreme heat"
"89","Eastern dutchess ",7,2013,0,"extreme heat"
"90","Eastern ulster ",7,2013,0,"extreme heat"
"91","Kings (brooklyn) ",7,2013,4,"extreme heat"
"92","New york (manhattan) ",7,2013,1,"extreme heat"
"93","Northern queens ",7,2013,0,"extreme heat"
"94","Orange ",7,2013,0,"extreme heat"
"95","Richmond (staten is.) ",7,2013,2,"extreme heat"
"96","Southern nassau ",7,2013,0,"extreme heat"
"97","Southern queens ",7,2013,1,"extreme heat"
