"","county","month","year","deaths","event"
"1","Eastern albany ",1,1996,0,"heat"
"2","Northern st. Lawrence ",1,1996,0,"heat"
"3","Western albany ",1,1996,0,"heat"
"4","Eastern albany ",2,1997,0,"heat"
"5","Eastern albany ",3,1998,0,"heat"
"6","Eastern columbia ",3,1998,0,"heat"
"7","Eastern dutchess ",3,1998,0,"heat"
"8","Eastern greene ",3,1998,0,"heat"
"9","Eastern rensselaer ",3,1998,0,"heat"
"10","Eastern schenectady ",3,1998,0,"heat"
"11","Eastern ulster ",3,1998,0,"heat"
"12","Fulton ",3,1998,0,"heat"
"13","Hamilton ",3,1998,0,"heat"
"14","Montgomery ",3,1998,0,"heat"
"15","Northern herkimer ",3,1998,0,"heat"
"16","Northern saratoga ",3,1998,0,"heat"
"17","Schoharie ",3,1998,0,"heat"
"18","Southern herkimer ",3,1998,0,"heat"
"19","Southern saratoga ",3,1998,0,"heat"
"20","Warren ",3,1998,0,"heat"
"21","Washington ",3,1998,0,"heat"
"22","Western albany ",3,1998,0,"heat"
"23","Western columbia ",3,1998,0,"heat"
"24","Western dutchess ",3,1998,0,"heat"
"25","Western greene ",3,1998,0,"heat"
"26","Western rensselaer ",3,1998,0,"heat"
"27","Western schenectady ",3,1998,0,"heat"
"28","Western ulster ",3,1998,0,"heat"
"29","Eastern albany ",12,1998,0,"heat"
"30","Eastern columbia ",12,1998,0,"heat"
"31","Eastern dutchess ",12,1998,0,"heat"
"32","Eastern greene ",12,1998,0,"heat"
"33","Eastern rensselaer ",12,1998,0,"heat"
"34","Eastern schenectady ",12,1998,0,"heat"
"35","Eastern ulster ",12,1998,0,"heat"
"36","Fulton ",12,1998,0,"heat"
"37","Hamilton ",12,1998,0,"heat"
"38","Montgomery ",12,1998,0,"heat"
"39","Northern herkimer ",12,1998,0,"heat"
"40","Northern saratoga ",12,1998,0,"heat"
"41","Northern st. Lawrence ",12,1998,0,"heat"
"42","Schoharie ",12,1998,0,"heat"
"43","Southern herkimer ",12,1998,0,"heat"
"44","Southern saratoga ",12,1998,0,"heat"
"45","Warren ",12,1998,0,"heat"
"46","Washington ",12,1998,0,"heat"
"47","Western albany ",12,1998,0,"heat"
