"","row_ind","column_ind","values"
"1","NJ0040800","y2023_12",-7
"2","CA019900X","y2022_11",-2
"3","CA0193900","y2022_11",-1
"4","CA0194900","y2022_8",-1
"5","CA0193600","y2022_7",-1
"6","CA0151100","y2022_6",-1
"7","CA043950X","y2022_1",-1
"8","LA0310700","y2020_12",-1
"9","CA0192H0X","y2020_12",-1
"10","AZ0079700","y2020_12",-1
"11","AZ0080000","y2020_12",-2
"12","TX0460000","y2020_11",-1
"13","IN0640000","y2020_11",-1
"14","CA0192100","y2020_11",-2
"15","CA0190300","y2020_11",-1
"16","CA0370300","y2020_11",-1
"17","CA0301100","y2020_11",-1
"18","MO0240000","y2020_10",-1
"19","ME0060800","y2020_10",-1
"20","CA0194300","y2020_10",-1
"21","CA0440000","y2020_10",-1
"22","CA0300200","y2020_10",-1
"23","AZ0080000","y2020_10",-1
"24","TX0500100","y2020_9",-1
"25","CA0197400","y2020_9",-1
"26","CA0191W0X","y2020_9",-1
"27","CA0070000","y2020_8",-1
"28","CA0301300","y2020_8",-1
"29","CA0240500","y2020_8",-2
"30","TX1780000","y2020_7",-1
"31","WADI05800","y2020_6",-1
"32","CA0290800","y2020_6",-1
"33","UT0110100","y2020_5",-1
"34","TX0500100","y2020_5",-2
"35","TX0030000","y2020_5",-2
"36","CA0197000","y2020_5",-1
"37","CA0192700","y2020_5",-1
"38","TX0940200","y2020_4",-1
"39","TX0500100","y2020_4",-2
"40","TX057519E","y2020_4",-1
"41","TX1390000","y2020_4",-2
"42","MD0020100","y2020_4",-1
"43","CA0191R0X","y2020_4",-1
"44","CA037A100","y2020_4",-1
"45","AZ0131200","y2020_4",-1
"46","AK0010200","y2020_4",-2
"47","TX1700000","y2020_3",-2
"48","TX2260000","y2020_3",-1
"49","TX0190000","y2020_3",-1
"50","NV0010000","y2020_3",-1
"51","NV0021000","y2020_3",-1
"52","LA0500000","y2020_3",-2
"53","CA0195900","y2020_3",-1
"54","AZ0073100","y2020_3",-1
