"","row_ind","column_ind","values"
"1","CA0196700","y2022_5",-1
"2","TX1390000","y2020_12",-1
"3","NJNDRPA00","y2020_10",-1
"4","CA037A200","y2020_10",-1
"5","CA019900X","y2020_8",-1
"6","CA0192700","y2020_4",-1
"7","IN0030100","y2020_1",-1
"8","AZ0079700","y2020_1",-1
"9","UT0250300","y2019_12",-1
"10","NM0320300","y2019_12",-1
"11","IN0640200","y2019_12",-1
"12","IN0290700","y2019_10",-1
"13","CA0191F00","y2019_10",-1
"14","TX0460000","y2019_9",-1
"15","TX1330000","y2019_8",-1
"16","NJ0150500","y2019_7",-1
"17","CA019900X","y2019_7",-1
"18","TX0460000","y2019_5",-1
"19","GA1140000","y2019_5",-1
"20","IN0640000","y2019_2",-1
"21","TX1650100","y2019_1",-1
"22","TX0800000","y2019_1",-1
"23","GA1550000","y2019_1",-1
"24","AZ0130700","y2018_11",-1
"25","OH0310000","y2018_10",-1
"26","MD0110300","y2018_10",-1
"27","GA0470200","y2018_10",-1
"28","GA1010000","y2018_9",-1
"29","TX1330100","y2018_8",-1
"30","GA1090000","y2018_8",-1
"31","GA0671000","y2018_8",-1
"32","GA0440100","y2018_8",-1
"33","GA1510000","y2018_8",-1
"34","CA0300000","y2018_8",-1
"35","AZ0079700","y2018_8",-1
"36","TX1460100","y2018_4",-1
"37","GA0160100","y2018_3",-1
"38","CA0470800","y2018_3",-1
"39","NV0130000","y2018_2",-1
"40","IN0430000","y2018_1",-1
"41","CA0400200","y2018_1",-1
"42","WI0130800","y2017_12",-1
"43","TX0040100","y2017_12",-1
"44","MS0240800","y2017_12",-2
"45","CA037A400","y2017_12",-1
"46","TX2370000","y2017_11",-1
"47","LA0010100","y2017_11",-2
"48","IN0290400","y2017_11",-1
"49","IN0640200","y2017_11",-1
"50","TX1390000","y2017_10",-1
"51","TX0250200","y2017_10",-1
"52","MD0160300","y2017_10",-1
"53","CA0579700","y2017_10",-1
"54","MD0110000","y2017_9",-1
"55","NB0550000","y2017_8",-1
"56","GA0180000","y2017_8",-1
"57","CA0199700","y2017_8",-1
"58","CA0520200","y2017_6",-1
"59","OH0210100","y2017_5",-1
"60","MO0730000","y2017_5",-1
"61","IN0530100","y2017_5",-1
"62","CA0301800","y2017_5",-1
"63","OH0210100","y2017_3",-1
"64","UT0110100","y2017_1",-1
"65","MD0070000","y2017_1",-1
"66","GA0330600","y2017_1",-1
"67","MO0950H00","y2016_11",-1
"68","MD0070000","y2016_11",-1
"69","CA0300700","y2016_10",-1
"70","CA019900X","y2016_9",-1
"71","AZ0080000","y2016_8",-1
"72","GA1130100","y2016_6",-1
"73","CA0191F00","y2016_6",-1
"74","CA0334200","y2016_6",-1
"75","WY0150100","y2016_3",-1
"76","LA0520200","y2016_3",-1
"77","CA0301100","y2016_3",-1
"78","MS0300300","y2016_2",-1
"79","MD0130000","y2016_2",-1
"80","GA0330600","y2016_2",-1
"81","GA1120000","y2016_1",-1
"82","CA0562200","y2016_1",-1
"83","WY0030100","y2015_12",-1
"84","PA0024200","y2015_12",-1
"85","GA0360000","y2015_11",-1
"86","MS0240800","y2015_10",-1
"87","NJ0152400","y2015_9",-1
"88","GA0730100","y2015_9",-1
"89","CA0192100","y2015_9",-1
"90","CA0370700","y2015_9",-1
"91","LA0450000","y2015_8",-1
"92","CA0192J0X","y2015_7",-1
"93","AZ0130700","y2015_7",-1
"94","NB0280000","y2015_6",-1
"95","GA0360000","y2015_6",-1
"96","GA0760300","y2015_6",-1
"97","LA0500100","y2015_5",-1
"98","PA0010100","y2015_4",-1
"99","GA0360000","y2015_4",-1
"100","GA0360000","y2015_3",-1
"101","GA1590000","y2015_3",-1
"102","CA0192600","y2015_3",-1
"103","GA0650000","y2015_2",-1
"104","AZ0020900","y2015_2",-1
"105","AZ0090300","y2015_2",-1
"106","MO0951400","y2015_1",-1
"107","NB0400100","y2014_12",-1
"108","GA1120000","y2014_12",-1
"109","GA0440100","y2014_12",-1
"110","GA0360000","y2014_11",-1
"111","WA0310200","y2014_10",-1
"112","MN0030600","y2014_8",-8
"113","GA1360000","y2014_8",-1
"114","WA0310200","y2014_7",-1
"115","CA037A300","y2014_7",-1
"116","CA0310400","y2014_7",-1
"117","PA0250300","y2014_6",-1
"118","MS0240800","y2014_6",-1
"119","GA0200000","y2014_6",-3
"120","GA0880000","y2014_5",-2
"121","PA0110500","y2014_3",-1
"122","GA0605700","y2014_3",-1
"123","PA0170200","y2014_2",-1
"124","GA0760000","y2014_2",-1
"125","CA030480X","y2014_2",-1
"126","NJ0122100","y2014_1",-1
"127","GA0440100","y2014_1",-1
"128","GA0380000","y2014_1",-1
"129","CA0431200","y2013_12",-1
"130","CA0301600","y2013_11",-1
"131","UT0250300","y2013_10",-1
"132","AK0012300","y2013_8",-1
"133","WY0110100","y2013_6",-2
"134","AZ0080400","y2013_6",-1
"135","MS0240800","y2013_5",-1
"136","PA0463200","y2013_4",-1
"137","CA0110000","y2013_4",-1
