"","county","month","year","deaths","event"
"1","Cameron ",1,1996,0,"cold"
"2","Dallas ",1,1996,4,"cold"
"3","Hidalgo ",1,1996,0,"cold"
"4","Starr ",1,1996,0,"cold"
"5","Tarrant ",1,1996,1,"cold"
"6","Willacy ",1,1996,0,"cold"
"7","Jefferson ",2,1996,0,"cold"
"8","Starr ",2,1996,0,"cold"
"9","Starr ",12,1996,0,"cold"
"10","Cameron ",1,1997,0,"cold"
"11","Hidalgo ",1,1997,0,"cold"
"12","Starr ",1,1997,0,"cold"
"13","Willacy ",1,1997,0,"cold"
"14","Castro ",4,1997,0,"cold"
"15","Collin ",4,1997,0,"cold"
"16","Comanche ",4,1997,0,"cold"
"17","Cooke ",4,1997,0,"cold"
"18","Dallas ",4,1997,0,"cold"
"19","Denton ",4,1997,0,"cold"
"20","Eastland ",4,1997,0,"cold"
"21","Erath ",4,1997,0,"cold"
"22","Fannin ",4,1997,0,"cold"
"23","Grayson ",4,1997,0,"cold"
"24","Haskell ",4,1997,0,"cold"
"25","Hood ",4,1997,0,"cold"
"26","Jack ",4,1997,0,"cold"
"27","Johnson ",4,1997,0,"cold"
"28","Montague ",4,1997,0,"cold"
"29","Palo pinto ",4,1997,0,"cold"
"30","Parker ",4,1997,0,"cold"
"31","Parmer ",4,1997,0,"cold"
"32","Somervell ",4,1997,0,"cold"
"33","Stephens ",4,1997,0,"cold"
"34","Tarrant ",4,1997,0,"cold"
"35","Throckmorton ",4,1997,0,"cold"
"36","Wise ",4,1997,0,"cold"
"37","Young ",4,1997,0,"cold"
"38","Harris ",12,1997,1,"cold"
"39","Tarrant ",12,2004,1,"cold"
"40","Armstrong ",1,2007,0,"cold"
"41","Carson ",1,2007,0,"cold"
"42","Dallam ",1,2007,0,"cold"
"43","Deaf smith ",1,2007,0,"cold"
"44","Donley ",1,2007,0,"cold"
"45","Gray ",1,2007,0,"cold"
"46","Hansford ",1,2007,0,"cold"
"47","Hartley ",1,2007,0,"cold"
"48","Hemphill ",1,2007,0,"cold"
"49","Hutchinson ",1,2007,0,"cold"
"50","Lipscomb ",1,2007,0,"cold"
"51","Moore ",1,2007,0,"cold"
"52","Ochiltree ",1,2007,0,"cold"
"53","Oldham ",1,2007,0,"cold"
"54","Potter ",1,2007,0,"cold"
"55","Randall ",1,2007,0,"cold"
"56","Roberts ",1,2007,0,"cold"
"57","Sherman ",1,2007,0,"cold"
"58","Wheeler ",1,2007,0,"cold"
"59","Brown ",4,2007,0,"cold"
"60","Callahan ",4,2007,0,"cold"
"61","Coke ",4,2007,0,"cold"
"62","Coleman ",4,2007,0,"cold"
"63","Concho ",4,2007,0,"cold"
"64","Crockett ",4,2007,0,"cold"
"65","Fisher ",4,2007,0,"cold"
"66","Haskell ",4,2007,0,"cold"
"67","Irion ",4,2007,0,"cold"
"68","Jones ",4,2007,0,"cold"
"69","Kimble ",4,2007,0,"cold"
"70","Mason ",4,2007,0,"cold"
"71","Mcculloch ",4,2007,0,"cold"
"72","Menard ",4,2007,0,"cold"
"73","Nolan ",4,2007,0,"cold"
"74","Runnels ",4,2007,0,"cold"
"75","San saba ",4,2007,0,"cold"
"76","Schleicher ",4,2007,0,"cold"
"77","Shackelford ",4,2007,0,"cold"
"78","Sterling ",4,2007,0,"cold"
"79","Sutton ",4,2007,0,"cold"
"80","Taylor ",4,2007,0,"cold"
"81","Throckmorton ",4,2007,0,"cold"
"82","Tom green ",4,2007,0,"cold"
"83","Bexar ",11,2007,1,"cold"
"84","Angelina ",1,2010,0,"cold"
"85","Bowie ",1,2010,0,"cold"
"86","Camp ",1,2010,0,"cold"
"87","Cass ",1,2010,0,"cold"
"88","Cherokee ",1,2010,0,"cold"
"89","Franklin ",1,2010,0,"cold"
"90","Gregg ",1,2010,0,"cold"
"91","Hardin ",1,2010,0,"cold"
"92","Harrison ",1,2010,0,"cold"
"93","Jasper ",1,2010,0,"cold"
"94","Jefferson ",1,2010,0,"cold"
"95","Marion ",1,2010,0,"cold"
"96","Morris ",1,2010,0,"cold"
"97","Nacogdoches ",1,2010,0,"cold"
"98","Newton ",1,2010,0,"cold"
"99","Orange ",1,2010,0,"cold"
"100","Panola ",1,2010,0,"cold"
"101","Red river ",1,2010,0,"cold"
"102","Rusk ",1,2010,0,"cold"
"103","Sabine ",1,2010,0,"cold"
"104","San augustine ",1,2010,0,"cold"
"105","Shelby ",1,2010,0,"cold"
"106","Smith ",1,2010,0,"cold"
"107","Titus ",1,2010,0,"cold"
"108","Tyler ",1,2010,0,"cold"
"109","Upshur ",1,2010,0,"cold"
"110","Wood ",1,2010,0,"cold"
"111","Erath ",2,2011,1,"cold"
"112","Dallas ",12,2012,2,"cold"
"113","Armstrong ",4,2013,0,"cold"
"114","Carson ",4,2013,0,"cold"
"115","Collingsworth ",4,2013,0,"cold"
"116","Dallam ",4,2013,0,"cold"
"117","Deaf smith ",4,2013,0,"cold"
"118","Donley ",4,2013,0,"cold"
"119","Gray ",4,2013,0,"cold"
"120","Hansford ",4,2013,0,"cold"
"121","Hartley ",4,2013,0,"cold"
"122","Hemphill ",4,2013,0,"cold"
"123","Hutchinson ",4,2013,0,"cold"
"124","Lipscomb ",4,2013,0,"cold"
"125","Moore ",4,2013,0,"cold"
"126","Ochiltree ",4,2013,0,"cold"
"127","Oldham ",4,2013,0,"cold"
"128","Potter ",4,2013,0,"cold"
"129","Randall ",4,2013,0,"cold"
"130","Roberts ",4,2013,0,"cold"
"131","Sherman ",4,2013,0,"cold"
"132","Wheeler ",4,2013,0,"cold"
"133","Armstrong ",5,2013,0,"cold"
"134","Carson ",5,2013,0,"cold"
"135","Collingsworth ",5,2013,0,"cold"
"136","Dallam ",5,2013,0,"cold"
"137","Deaf smith ",5,2013,0,"cold"
"138","Donley ",5,2013,0,"cold"
"139","Gray ",5,2013,0,"cold"
"140","Hansford ",5,2013,0,"cold"
"141","Hartley ",5,2013,0,"cold"
"142","Hemphill ",5,2013,0,"cold"
"143","Hutchinson ",5,2013,0,"cold"
"144","Lipscomb ",5,2013,0,"cold"
"145","Moore ",5,2013,0,"cold"
"146","Ochiltree ",5,2013,0,"cold"
"147","Oldham ",5,2013,0,"cold"
"148","Potter ",5,2013,0,"cold"
"149","Randall ",5,2013,0,"cold"
"150","Roberts ",5,2013,0,"cold"
"151","Sherman ",5,2013,0,"cold"
"152","Wheeler ",5,2013,0,"cold"
"153","Franklin ",7,2013,0,"cold"
"154","Armstrong ",10,2013,0,"cold"
"155","Carson ",10,2013,0,"cold"
"156","Dallam ",10,2013,0,"cold"
"157","Deaf smith ",10,2013,0,"cold"
"158","Donley ",10,2013,0,"cold"
"159","Gray ",10,2013,0,"cold"
"160","Hansford ",10,2013,0,"cold"
"161","Hartley ",10,2013,0,"cold"
"162","Hemphill ",10,2013,0,"cold"
"163","Hutchinson ",10,2013,0,"cold"
"164","Lipscomb ",10,2013,0,"cold"
"165","Moore ",10,2013,0,"cold"
"166","Ochiltree ",10,2013,0,"cold"
"167","Oldham ",10,2013,0,"cold"
"168","Potter ",10,2013,0,"cold"
"169","Randall ",10,2013,0,"cold"
"170","Roberts ",10,2013,0,"cold"
"171","Sherman ",10,2013,0,"cold"
"172","Wheeler ",10,2013,0,"cold"
"173","Armstrong ",11,2013,0,"cold"
