"","county","month","year","deaths","event"
"1","Dallas ",8,2007,1,"extreme heat"
"2","Kaufman ",8,2007,0,"extreme heat"
"3","Lamar ",8,2007,0,"extreme heat"
"4","Tarrant ",8,2007,1,"extreme heat"
"5","Dallas ",7,2008,3,"extreme heat"
"6","Dallas ",8,2008,4,"extreme heat"
"7","Smith ",6,2009,1,"extreme heat"
"8","Angelina ",8,2010,2,"extreme heat"
"9","Angelina ",6,2011,0,"extreme heat"
"10","Bowie ",6,2011,0,"extreme heat"
"11","Camp ",6,2011,0,"extreme heat"
"12","Cass ",6,2011,0,"extreme heat"
"13","Cherokee ",6,2011,0,"extreme heat"
"14","Franklin ",6,2011,0,"extreme heat"
"15","Gregg ",6,2011,0,"extreme heat"
"16","Harrison ",6,2011,0,"extreme heat"
"17","Marion ",6,2011,0,"extreme heat"
"18","Morris ",6,2011,0,"extreme heat"
"19","Nacogdoches ",6,2011,0,"extreme heat"
"20","Panola ",6,2011,0,"extreme heat"
"21","Red river ",6,2011,0,"extreme heat"
"22","Rusk ",6,2011,0,"extreme heat"
"23","Sabine ",6,2011,0,"extreme heat"
"24","San augustine ",6,2011,0,"extreme heat"
"25","Shelby ",6,2011,0,"extreme heat"
"26","Smith ",6,2011,0,"extreme heat"
"27","Titus ",6,2011,0,"extreme heat"
"28","Upshur ",6,2011,0,"extreme heat"
"29","Wood ",6,2011,0,"extreme heat"
"30","Angelina ",7,2011,0,"extreme heat"
"31","Bowie ",7,2011,0,"extreme heat"
"32","Camp ",7,2011,0,"extreme heat"
"33","Cass ",7,2011,0,"extreme heat"
"34","Cherokee ",7,2011,0,"extreme heat"
"35","Franklin ",7,2011,0,"extreme heat"
"36","Gregg ",7,2011,0,"extreme heat"
"37","Harrison ",7,2011,0,"extreme heat"
"38","Marion ",7,2011,0,"extreme heat"
"39","Morris ",7,2011,0,"extreme heat"
"40","Nacogdoches ",7,2011,0,"extreme heat"
"41","Panola ",7,2011,0,"extreme heat"
"42","Red river ",7,2011,0,"extreme heat"
"43","Rusk ",7,2011,0,"extreme heat"
"44","Sabine ",7,2011,0,"extreme heat"
"45","San augustine ",7,2011,0,"extreme heat"
"46","Shelby ",7,2011,0,"extreme heat"
"47","Smith ",7,2011,0,"extreme heat"
"48","Titus ",7,2011,0,"extreme heat"
"49","Upshur ",7,2011,0,"extreme heat"
"50","Wood ",7,2011,0,"extreme heat"
"51","Anderson ",8,2011,0,"extreme heat"
"52","Angelina ",8,2011,0,"extreme heat"
"53","Bell ",8,2011,1,"extreme heat"
"54","Bowie ",8,2011,0,"extreme heat"
"55","Camp ",8,2011,0,"extreme heat"
"56","Cass ",8,2011,0,"extreme heat"
"57","Cherokee ",8,2011,0,"extreme heat"
"58","Collin ",8,2011,1,"extreme heat"
"59","Cooke ",8,2011,0,"extreme heat"
"60","Coryell ",8,2011,0,"extreme heat"
"61","Dallas ",8,2011,4,"extreme heat"
"62","Delta ",8,2011,0,"extreme heat"
"63","Denton ",8,2011,0,"extreme heat"
"64","Ellis ",8,2011,0,"extreme heat"
