"","county","month","year","deaths","event"
"1","Dallas ",7,1996,2,"heat"
"2","Denton ",7,1996,1,"heat"
"3","Harrison ",7,1996,1,"heat"
"4","Tarrant ",7,1996,6,"heat"
"5","Collin ",7,1997,0,"heat"
"6","Dallas ",7,1997,2,"heat"
"7","Denton ",7,1997,0,"heat"
"8","Tarrant ",7,1997,0,"heat"
"9","Harris ",5,1998,1,"heat"
"10","Angelina ",6,1998,1,"heat"
"11","Dallas ",6,1998,1,"heat"
"12","Harris ",6,1998,1,"heat"
"13","Hill ",6,1998,1,"heat"
"14","Wichita ",6,1998,0,"heat"
"15","Anderson ",7,1998,0,"heat"
"16","Angelina ",7,1998,5,"heat"
"17","Bell ",7,1998,0,"heat"
"18","Bosque ",7,1998,0,"heat"
"19","Collin ",7,1998,0,"heat"
"20","Comanche ",7,1998,0,"heat"
"21","Cooke ",7,1998,0,"heat"
"22","Coryell ",7,1998,0,"heat"
"23","Dallas ",7,1998,23,"heat"
"24","Delta ",7,1998,0,"heat"
"25","Denton ",7,1998,4,"heat"
"26","Eastland ",7,1998,0,"heat"
"27","Ellis ",7,1998,0,"heat"
"28","Erath ",7,1998,0,"heat"
"29","Falls ",7,1998,0,"heat"
"30","Fannin ",7,1998,0,"heat"
"31","Freestone ",7,1998,0,"heat"
"32","Grayson ",7,1998,0,"heat"
"33","Hamilton ",7,1998,0,"heat"
"34","Harris ",7,1998,8,"heat"
"35","Henderson ",7,1998,0,"heat"
"36","Hill ",7,1998,0,"heat"
"37","Hood ",7,1998,0,"heat"
"38","Hopkins ",7,1998,0,"heat"
"39","Hunt ",7,1998,0,"heat"
"40","Jack ",7,1998,0,"heat"
"41","Johnson ",7,1998,0,"heat"
"42","Kaufman ",7,1998,1,"heat"
"43","Lamar ",7,1998,0,"heat"
"44","Lampasas ",7,1998,0,"heat"
"45","Leon ",7,1998,0,"heat"
"46","Limestone ",7,1998,0,"heat"
"47","Mclennan ",7,1998,0,"heat"
"48","Milam ",7,1998,0,"heat"
"49","Mills ",7,1998,0,"heat"
"50","Montague ",7,1998,0,"heat"
"51","Navarro ",7,1998,0,"heat"
"52","Palo pinto ",7,1998,0,"heat"
"53","Parker ",7,1998,0,"heat"
"54","Rains ",7,1998,0,"heat"
"55","Robertson ",7,1998,0,"heat"
"56","Rockwall ",7,1998,0,"heat"
"57","Somervell ",7,1998,0,"heat"
"58","Stephens ",7,1998,0,"heat"
"59","Tarrant ",7,1998,4,"heat"
"60","Van zandt ",7,1998,0,"heat"
"61","Wichita ",7,1998,2,"heat"
"62","Wise ",7,1998,0,"heat"
"63","Young ",7,1998,0,"heat"
"64","Dallas ",8,1998,5,"heat"
"65","Harris ",8,1998,9,"heat"
"66","Austin ",6,1999,0,"heat"
"67","Brazoria ",6,1999,0,"heat"
"68","Brazos ",6,1999,0,"heat"
"69","Burleson ",6,1999,0,"heat"
"70","Chambers ",6,1999,0,"heat"
"71","Colorado ",6,1999,0,"heat"
"72","Fort bend ",6,1999,0,"heat"
"73","Galveston ",6,1999,0,"heat"
"74","Grimes ",6,1999,0,"heat"
"75","Harris ",6,1999,4,"heat"
"76","Houston ",6,1999,0,"heat"
"77","Jackson ",6,1999,0,"heat"
"78","Liberty ",6,1999,0,"heat"
"79","Madison ",6,1999,0,"heat"
"80","Matagorda ",6,1999,0,"heat"
"81","Montgomery ",6,1999,0,"heat"
"82","Polk ",6,1999,0,"heat"
"83","San jacinto ",6,1999,0,"heat"
"84","Trinity ",6,1999,0,"heat"
"85","Walker ",6,1999,0,"heat"
"86","Waller ",6,1999,0,"heat"
"87","Washington ",6,1999,0,"heat"
"88","Wharton ",6,1999,0,"heat"
"89","Harris ",7,1999,1,"heat"
"90","Travis ",7,1999,1,"heat"
"91","Anderson ",8,1999,0,"heat"
"92","Austin ",8,1999,0,"heat"
"93","Bell ",8,1999,0,"heat"
"94","Bosque ",8,1999,0,"heat"
"95","Brazoria ",8,1999,0,"heat"
"96","Brazos ",8,1999,0,"heat"
"97","Burleson ",8,1999,0,"heat"
"98","Chambers ",8,1999,0,"heat"
"99","Collin ",8,1999,0,"heat"
"100","Colorado ",8,1999,0,"heat"
"101","Comal ",8,1999,1,"heat"
"102","Comanche ",8,1999,0,"heat"
"103","Cooke ",8,1999,0,"heat"
"104","Coryell ",8,1999,0,"heat"
"105","Dallas ",8,1999,3,"heat"
"106","Delta ",8,1999,0,"heat"
"107","Denton ",8,1999,0,"heat"
"108","Eastland ",8,1999,0,"heat"
"109","Ellis ",8,1999,0,"heat"
"110","Erath ",8,1999,0,"heat"
"111","Falls ",8,1999,0,"heat"
"112","Fannin ",8,1999,0,"heat"
"113","Fort bend ",8,1999,0,"heat"
"114","Freestone ",8,1999,0,"heat"
"115","Galveston ",8,1999,0,"heat"
"116","Grayson ",8,1999,0,"heat"
"117","Grimes ",8,1999,0,"heat"
"118","Hamilton ",8,1999,0,"heat"
"119","Harris ",8,1999,6,"heat"
"120","Haskell ",8,1999,0,"heat"
"121","Henderson ",8,1999,0,"heat"
"122","Hill ",8,1999,0,"heat"
"123","Hood ",8,1999,0,"heat"
"124","Hopkins ",8,1999,0,"heat"
"125","Houston ",8,1999,0,"heat"
"126","Hunt ",8,1999,0,"heat"
"127","Jack ",8,1999,0,"heat"
"128","Jackson ",8,1999,0,"heat"
"129","Johnson ",8,1999,0,"heat"
"130","Kaufman ",8,1999,0,"heat"
"131","Lamar ",8,1999,0,"heat"
"132","Lampasas ",8,1999,0,"heat"
"133","Leon ",8,1999,0,"heat"
"134","Liberty ",8,1999,0,"heat"
"135","Limestone ",8,1999,0,"heat"
"136","Madison ",8,1999,0,"heat"
"137","Matagorda ",8,1999,0,"heat"
"138","Mclennan ",8,1999,0,"heat"
"139","Milam ",8,1999,0,"heat"
"140","Mills ",8,1999,0,"heat"
"141","Montague ",8,1999,0,"heat"
"142","Montgomery ",8,1999,0,"heat"
"143","Navarro ",8,1999,0,"heat"
"144","Palo pinto ",8,1999,0,"heat"
"145","Parker ",8,1999,0,"heat"
"146","Polk ",8,1999,0,"heat"
"147","Rains ",8,1999,0,"heat"
"148","Robertson ",8,1999,0,"heat"
"149","Rockwall ",8,1999,0,"heat"
"150","San jacinto ",8,1999,0,"heat"
"151","Somervell ",8,1999,0,"heat"
"152","Stephens ",8,1999,0,"heat"
"153","Tarrant ",8,1999,0,"heat"
"154","Throckmorton ",8,1999,0,"heat"
"155","Travis ",8,1999,2,"heat"
"156","Trinity ",8,1999,0,"heat"
"157","Uvalde ",8,1999,2,"heat"
"158","Van zandt ",8,1999,0,"heat"
"159","Walker ",8,1999,0,"heat"
"160","Waller ",8,1999,0,"heat"
"161","Washington ",8,1999,0,"heat"
"162","Wharton ",8,1999,0,"heat"
"163","Wichita ",8,1999,1,"heat"
"164","Wilbarger ",8,1999,1,"heat"
"165","Wise ",8,1999,0,"heat"
"166","Young ",8,1999,0,"heat"
"167","Bexar ",5,2000,1,"heat"
"168","Dimmit ",5,2000,2,"heat"
"169","Maverick ",5,2000,2,"heat"
"170","Anderson ",7,2000,0,"heat"
"171","Austin ",7,2000,0,"heat"
"172","Bell ",7,2000,0,"heat"
"173","Bosque ",7,2000,0,"heat"
"174","Brazoria ",7,2000,0,"heat"
"175","Brazos ",7,2000,0,"heat"
"176","Burleson ",7,2000,0,"heat"
"177","Chambers ",7,2000,0,"heat"
"178","Cherokee ",7,2000,1,"heat"
"179","Collin ",7,2000,0,"heat"
"180","Colorado ",7,2000,0,"heat"
"181","Comanche ",7,2000,0,"heat"
"182","Cooke ",7,2000,0,"heat"
"183","Coryell ",7,2000,0,"heat"
"184","Dallas ",7,2000,8,"heat"
"185","Delta ",7,2000,0,"heat"
"186","Denton ",7,2000,0,"heat"
